# Climatic indices calculated with observation-based data (precipitation and temperature) and with simulation-based data (potential evapotranspiration). Only years with complete hydrological year are used (5% missing values are tolerated per hydrological year).
gauge_id,ind_start_date,ind_end_date,ind_number_of_years,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing
2004,1981-10-01,2020-09-30,39,3.059,1.827,0.597,0.159,0.039,19.487,1.169,jja,230.637,4.219,son
2007,1981-10-01,2020-09-30,39,4.983,1.84,0.369,-0.118,0.17,18.282,1.213,djf,208.868,3.841,son
2009,1981-10-01,2020-09-30,39,3.558,1.564,0.44,0.078,0.436,18.41,1.223,jja,216.894,3.793,son
2011,1981-10-01,2020-09-30,39,3.401,1.502,0.442,0.106,0.474,17.795,1.244,son,222.022,3.859,son
2014,1981-10-01,2020-09-30,39,4.869,1.537,0.316,0.279,0.223,15.641,1.175,jja,196.817,3.448,son
2016,1981-10-01,2020-09-30,39,3.653,1.707,0.467,0.162,0.109,15.41,1.16,jja,201.894,3.625,son
2017,1981-10-01,2020-09-30,39,3.952,1.775,0.449,0.417,0.05,17.666,1.162,jja,215.073,3.66,son
2018,1981-10-01,2020-09-30,39,4.354,1.588,0.365,0.264,0.182,15.0,1.177,jja,196.202,3.405,son
2019,1981-10-01,2020-09-30,39,5.068,1.208,0.238,0.068,0.503,16.307,1.207,son,198.74,3.406,son
2020,1981-10-01,2020-09-30,39,4.551,1.874,0.412,0.368,0.228,20.512,1.401,son,234.97,4.508,djf
2021,1981-10-01,2020-09-30,39,4.852,2.518,0.519,0.364,0.043,23.025,1.367,son,250.714,5.478,djf
2022,1981-10-01,2020-09-30,39,4.74,2.101,0.443,0.317,0.172,20.948,1.464,son,231.099,4.594,djf
2023,1981-10-01,2020-09-30,39,4.828,1.331,0.276,0.144,0.422,16.154,1.189,jja,202.073,3.434,son
2024,1981-10-01,2020-09-30,39,3.43,1.541,0.449,0.105,0.459,17.795,1.233,son,221.099,3.876,son
2025,1981-10-01,2020-09-30,39,4.589,1.429,0.311,0.165,0.393,15.872,1.231,jja,197.817,3.368,son
2026,1981-10-01,2020-09-30,39,3.534,1.757,0.497,0.068,0.303,17.615,1.193,jja,211.022,3.815,son
2027,1981-10-01,2020-09-30,39,3.534,1.757,0.497,0.068,0.303,17.615,1.193,jja,211.022,3.815,son
2028,1981-10-01,2020-09-30,39,3.534,1.757,0.497,0.068,0.303,17.615,1.193,jja,211.022,3.815,son
2029,1981-10-01,2020-09-30,39,3.784,1.671,0.442,0.148,0.135,15.589,1.163,jja,200.535,3.596,son
2030,1981-10-01,2020-09-30,39,4.415,1.399,0.317,0.186,0.325,15.948,1.156,jja,202.432,3.487,son
2031,1981-10-01,2020-09-30,39,4.7,1.744,0.371,0.364,0.099,17.487,1.18,jja,209.714,3.584,son
2032,1981-10-01,2020-09-30,39,3.666,1.62,0.442,0.324,0.26,15.333,1.194,jja,192.638,3.332,son
2033,1981-10-01,2020-09-30,39,4.191,1.36,0.325,0.251,0.396,17.948,1.266,jja,210.868,3.623,son
2034,1981-10-01,2020-09-30,39,3.3,1.809,0.548,0.138,0.042,19.23,1.168,jja,229.56,4.197,son
2041,1981-10-01,2020-09-30,39,3.618,1.486,0.411,0.343,0.308,16.436,1.209,jja,203.099,3.447,djf
2043,1981-10-01,2020-09-30,39,3.602,1.64,0.455,0.322,0.248,15.154,1.189,jja,192.663,3.347,son
2044,1981-10-01,2020-09-30,39,3.834,1.588,0.414,0.278,0.074,15.487,1.159,jja,205.945,3.545,son
2053,1991-10-01,2020-09-30,29,3.496,1.388,0.397,0.033,0.48,19.343,1.196,djf,224.984,3.931,son
2056,1981-10-01,2020-09-30,39,4.595,1.358,0.295,0.137,0.447,16.205,1.254,son,197.561,3.369,son
2063,1981-10-01,2020-09-30,39,3.733,1.691,0.453,0.158,0.123,15.718,1.161,jja,201.279,3.601,son
2066,1981-10-01,2020-09-30,39,2.791,1.262,0.452,0.395,0.428,20.769,1.258,jja,242.739,4.365,djf
2067,1981-10-01,2020-09-30,39,2.645,1.249,0.472,0.432,0.397,19.461,1.242,jja,239.97,4.246,djf
2068,1981-10-01,2020-09-30,26,4.49,1.971,0.439,0.348,0.218,20.732,1.4,NaN,235.974,4.578,djf
2070,1981-10-01,2020-09-30,39,4.266,1.674,0.392,0.3,0.135,17.077,1.164,jja,207.919,3.588,son
2072,1981-10-01,2020-09-30,39,3.042,1.319,0.434,0.382,0.417,20.589,1.259,jja,237.739,4.23,djf
2073,1981-10-01,2020-09-30,39,2.872,1.256,0.437,0.385,0.437,20.692,1.259,jja,240.739,4.311,djf
2074,1981-10-01,2020-09-30,39,4.74,2.101,0.443,0.317,0.172,20.948,1.464,son,231.099,4.594,djf
2078,1981-10-01,2020-09-30,39,3.602,1.406,0.39,0.297,0.36,21.384,1.345,son,247.534,4.796,djf
2079,1981-10-01,2020-09-30,39,2.903,1.902,0.655,0.386,0.132,22.564,1.313,jja,259.97,5.37,djf
2081,1981-10-01,2020-09-30,39,3.89,1.744,0.448,0.287,0.054,17.538,1.15,jja,217.047,3.706,son
2082,1981-10-01,2020-09-30,39,3.582,1.749,0.488,0.31,0.039,17.846,1.149,jja,220.253,3.794,son
2084,1981-10-01,2020-09-30,39,5.389,1.55,0.288,0.276,0.223,16.154,1.156,jja,197.997,3.43,son
2085,1984-10-01,2020-09-30,36,3.997,1.551,0.388,0.215,0.188,16.25,1.163,jja,202.944,3.54,son
2086,1981-10-01,2020-09-30,39,4.442,1.785,0.402,0.362,0.259,20.82,1.388,son,241.303,4.604,djf
2087,1981-10-01,2020-09-30,39,4.7,1.153,0.245,0.054,0.532,16.41,1.314,son,197.689,3.45,son
2088,1981-10-01,2020-09-30,39,4.539,1.599,0.352,0.26,0.197,17.41,1.185,jja,208.971,3.519,son
2091,1981-10-01,2020-09-30,39,3.728,1.69,0.453,0.23,0.141,13.692,1.163,jja,187.612,3.377,son
2093,1981-10-01,2020-09-30,39,4.419,1.397,0.316,0.185,0.326,15.974,1.156,jja,202.432,3.487,son
2097,1981-10-01,2020-09-30,39,3.128,1.686,0.539,0.297,0.04,17.974,1.182,jja,225.945,3.868,son
2099,1981-10-01,2020-09-30,39,4.731,1.59,0.336,0.285,0.177,15.589,1.174,jja,196.407,3.433,son
2101,1981-10-01,2020-09-30,39,4.953,2.457,0.496,0.389,0.058,22.871,1.345,son,250.38,5.395,djf
2102,1981-10-01,2020-09-30,39,4.536,1.6,0.353,0.261,0.197,17.436,1.185,jja,209.022,3.517,son
2104,1981-10-01,2020-09-30,39,4.9,1.468,0.3,0.253,0.305,16.23,1.188,jja,198.253,3.463,son
2105,1981-10-01,2020-09-30,39,2.842,1.246,0.438,0.388,0.436,20.666,1.257,jja,241.534,4.325,djf
2106,1981-10-01,2020-09-30,39,3.379,2.039,0.604,0.108,0.069,17.333,1.176,jja,213.432,3.716,son
2109,1981-10-01,2020-09-30,39,4.85,1.268,0.261,0.204,0.425,16.974,1.155,jja,209.355,3.524,son
2110,1981-10-01,2020-09-30,39,4.488,1.559,0.347,0.249,0.217,15.025,1.177,jja,194.843,3.382,son
2112,1981-10-01,2020-09-30,39,5.225,1.439,0.275,0.273,0.187,15.974,1.191,jja,198.689,3.441,son
2113,1981-10-01,2020-09-30,39,3.903,1.677,0.43,0.203,0.13,14.128,1.155,jja,193.894,3.456,son
2116,1981-10-01,2020-09-30,39,3.53,1.689,0.478,0.283,0.168,14.0,1.179,jja,191.099,3.382,son
2117,1981-10-01,2020-09-30,39,3.49,1.147,0.329,0.049,0.583,19.846,1.204,jja,228.406,3.97,son
2118,1981-10-01,2020-09-30,39,4.9,1.467,0.299,0.253,0.305,16.23,1.188,jja,198.253,3.463,son
2119,1981-10-01,2020-09-30,39,3.967,1.604,0.404,0.164,0.151,18.025,1.184,jja,211.483,3.754,son
2122,1981-10-01,2020-09-30,39,3.889,1.969,0.506,0.021,0.111,17.743,1.199,jja,213.099,3.745,son
2125,1981-10-01,2020-09-30,39,3.912,1.771,0.453,0.417,0.049,17.666,1.164,jja,215.304,3.656,son
2126,1981-10-01,2020-09-30,39,3.547,1.692,0.477,0.215,0.055,18.025,1.16,jja,219.791,3.776,son
2130,1981-10-01,1985-09-30,4,3.865,1.606,0.415,0.164,0.198,14.25,1.239,NaN,184.25,3.29,son
2132,1981-10-01,2020-09-30,39,3.669,1.936,0.528,0.236,0.054,16.897,1.16,jja,216.099,3.726,son
2135,1981-10-01,2020-09-30,39,4.247,1.446,0.34,0.21,0.276,16.282,1.167,jja,202.535,3.501,son
2137,1981-10-01,2020-09-30,39,3.187,1.624,0.51,0.338,0.04,17.743,1.181,jja,225.509,3.851,son
2139,1981-10-01,2020-09-30,39,4.014,1.74,0.434,0.377,0.057,16.948,1.191,jja,210.74,3.6,son
2141,1981-10-01,2020-09-30,39,2.778,1.392,0.501,0.409,0.361,19.538,1.227,jja,235.252,3.953,djf
2143,1981-10-01,2020-09-30,39,3.566,1.67,0.468,0.307,0.172,14.487,1.172,jja,192.894,3.383,son
2150,1981-10-01,2020-09-30,39,3.536,1.456,0.412,0.318,0.327,17.897,1.203,NaN,214.868,3.606,son
2151,1981-10-01,2020-09-30,39,4.257,1.343,0.316,0.16,0.271,17.538,1.169,jja,210.355,3.646,son
2152,1981-10-01,2020-09-30,39,4.599,1.543,0.335,0.238,0.26,15.384,1.163,jja,195.33,3.392,son
2154,1981-10-01,2020-09-30,39,3.382,1.862,0.551,0.032,0.057,17.948,1.174,son,218.509,4.005,son
2155,1981-10-01,2020-09-30,39,3.767,1.725,0.458,0.276,0.091,17.051,1.163,jja,210.663,3.661,son
2157,1981-10-01,2020-09-30,39,2.958,1.708,0.578,0.174,0.045,19.795,1.18,jja,233.637,4.176,son
2159,1981-10-01,2020-09-30,39,3.424,1.569,0.458,0.352,0.063,18.666,1.159,jja,221.047,3.801,son
2160,1981-10-01,2020-09-30,39,4.189,1.496,0.357,0.132,0.233,18.359,1.216,jja,211.227,3.701,son
2161,1981-10-01,2020-09-30,39,5.578,0.776,0.139,0.11,0.668,18.0,1.225,jja,205.586,3.489,son
2167,1981-10-01,2020-09-30,39,4.852,2.518,0.519,0.364,0.043,23.025,1.367,son,250.714,5.478,djf
2168,1981-10-01,2020-09-30,39,3.135,1.657,0.528,0.347,0.041,17.871,1.173,jja,225.688,3.822,son
2170,1981-10-01,2020-09-30,39,4.069,1.781,0.438,0.012,0.196,19.948,1.19,djf,219.97,3.988,son
2174,1981-10-01,2020-09-30,39,3.612,1.775,0.491,0.055,0.292,17.923,1.195,son,210.971,3.854,son
2176,1981-10-01,2020-09-30,39,4.944,1.614,0.326,0.294,0.134,16.179,1.156,jja,202.099,3.488,son
2179,1981-10-01,2020-09-30,39,3.921,1.647,0.42,0.28,0.1,18.154,1.155,jja,214.971,3.736,son
2181,1981-10-01,2020-09-30,39,4.366,1.517,0.348,0.286,0.108,15.718,1.177,jja,202.689,3.487,son
2185,1981-10-01,2020-09-30,39,3.241,1.534,0.473,0.38,0.305,19.051,1.2,jja,226.945,3.739,son
2187,1981-10-01,2020-09-30,39,4.242,1.669,0.393,0.307,0.12,17.923,1.189,jja,209.176,3.608,son
2199,1981-10-01,2020-09-30,39,4.14,2.09,0.505,-0.072,0.032,15.41,1.172,djf,204.561,3.636,son
2200,1981-10-01,2020-09-30,39,4.804,1.217,0.253,0.216,0.449,16.948,1.162,jja,208.894,3.527,son
2202,1981-10-01,2020-09-30,39,2.995,2.058,0.687,0.195,0.045,17.384,1.151,jja,222.278,3.846,son
2203,1981-10-01,2020-09-30,39,4.511,1.712,0.38,0.078,0.264,17.948,1.176,jja,216.432,3.79,son
2205,1981-10-01,2020-09-30,39,3.91,1.675,0.428,0.203,0.131,14.102,1.158,jja,193.843,3.46,son
2206,1984-10-01,2020-09-30,33,4.756,2.366,0.498,0.473,0.152,22.879,1.378,jja,255.036,5.519,djf
2207,1981-10-01,2020-09-30,39,4.604,1.541,0.335,0.238,0.261,15.384,1.163,jja,195.279,3.389,son
2208,1981-10-01,2020-09-30,39,3.785,1.67,0.441,0.148,0.135,15.589,1.163,jja,200.535,3.594,son
2209,1981-10-01,2020-09-30,39,4.697,1.584,0.337,0.283,0.186,15.641,1.182,NaN,196.766,3.452,son
2210,1981-10-01,2020-09-30,39,4.137,1.733,0.419,-0.018,0.108,15.436,1.173,son,202.099,3.683,son
2215,1981-10-01,2020-09-30,39,3.836,1.636,0.426,0.198,0.116,17.795,1.176,jja,212.201,3.753,son
2217,1981-10-01,2020-09-30,39,3.608,1.779,0.493,0.054,0.29,17.923,1.195,son,211.073,3.856,son
2219,1981-10-01,2020-09-30,39,4.924,1.169,0.237,0.142,0.48,19.102,1.213,jja,213.15,3.657,son
2232,1981-10-01,2020-09-30,39,4.286,1.229,0.287,0.184,0.315,17.436,1.164,jja,213.33,3.624,son
2239,1981-10-01,2020-09-30,39,2.598,1.151,0.443,0.443,0.414,20.0,1.287,jja,244.483,4.483,djf
2243,1981-10-01,2020-09-30,39,4.577,1.628,0.356,0.282,0.159,15.41,1.169,jja,195.971,3.446,son
2244,1981-10-01,2020-09-30,37,3.579,1.306,0.365,0.044,0.459,18.323,1.324,mam,244.797,4.671,djf
2247,1981-10-01,2020-09-30,39,4.305,1.684,0.391,-0.044,0.133,16.436,1.168,djf,205.15,3.734,son
2251,1981-10-01,2018-09-30,37,4.736,1.222,0.258,0.223,0.188,18.244,1.14,jja,211.869,3.715,son
2252,1981-10-01,2018-09-30,37,4.669,1.364,0.292,0.245,0.179,18.19,1.143,jja,212.409,3.705,son
2256,1981-10-01,2020-09-30,39,3.036,0.964,0.317,0.384,0.516,20.82,1.283,jja,241.457,4.4,djf
2262,1981-10-01,2020-09-30,39,3.242,1.067,0.329,0.36,0.497,20.589,1.308,jja,243.406,4.52,djf
2263,1981-10-01,2020-09-30,39,2.73,1.04,0.381,0.442,0.452,20.948,1.299,jja,254.047,4.798,djf
2265,1981-10-01,2020-09-30,39,2.694,1.206,0.448,0.426,0.412,19.564,1.249,jja,239.739,4.244,djf
2268,1981-10-01,2020-09-30,39,5.351,0.932,0.174,-0.091,0.7,17.102,1.283,djf,197.894,3.461,son
2269,1981-10-01,2020-09-30,39,4.293,1.121,0.261,0.086,0.587,18.615,1.21,jja,213.586,3.625,son
2270,1981-10-01,2016-09-30,35,4.311,1.653,0.383,-0.018,0.128,15.628,1.169,son,201.853,3.655,son
2276,1981-10-01,2020-09-30,39,4.692,1.32,0.281,0.258,0.351,17.025,1.167,jja,209.791,3.488,son
2282,1981-10-01,2020-09-30,39,4.519,2.106,0.466,0.219,0.14,17.513,1.18,jja,212.689,3.662,son
2283,1981-10-01,2020-09-30,39,4.559,1.365,0.299,0.219,0.149,17.692,1.192,jja,212.124,3.654,son
2288,1981-10-01,2020-09-30,39,3.564,1.655,0.464,0.319,0.234,15.077,1.185,jja,192.817,3.351,son
2289,1981-10-01,2020-09-30,39,3.708,1.704,0.46,0.227,0.137,13.436,1.157,jja,187.715,3.385,son
2290,1981-10-01,2020-09-30,39,4.199,1.594,0.38,-0.055,0.153,17.282,1.206,djf,210.201,3.795,son
2299,1981-10-01,2020-09-30,39,4.554,1.105,0.243,0.109,0.515,16.513,1.193,son,205.945,3.467,son
2300,1981-10-01,2020-09-30,39,5.862,1.453,0.248,0.257,0.22,16.205,1.147,jja,198.509,3.435,son
2303,1981-10-01,2020-09-30,39,4.834,1.488,0.308,0.247,0.143,15.974,1.164,jja,200.355,3.493,son
2304,1981-10-01,2020-09-30,39,2.524,1.288,0.51,0.429,0.392,20.82,1.234,jja,251.637,4.518,djf
2305,1981-10-01,2020-09-30,38,4.124,1.45,0.352,0.343,0.084,16.684,1.178,jja,212.256,3.582,son
2307,1981-10-01,2020-09-30,39,3.727,1.766,0.474,0.011,0.141,16.846,1.184,son,210.637,3.812,son
2308,1981-10-01,2020-09-30,39,3.911,1.691,0.432,0.408,0.078,17.487,1.188,jja,215.714,3.667,son
2309,1981-10-01,2020-09-30,39,3.173,1.596,0.503,0.428,0.031,17.923,1.181,jja,224.278,3.774,son
2312,1981-10-01,2020-09-30,39,2.795,1.626,0.582,0.343,0.032,19.025,1.187,jja,233.406,3.979,son
2319,1981-10-01,2020-09-30,39,2.497,1.123,0.45,0.405,0.409,20.769,1.231,jja,254.79,4.663,djf
2321,1981-10-01,2020-09-30,39,5.176,2.62,0.506,0.398,0.063,22.897,1.37,son,251.739,5.445,djf
