# Hydrogeological attributes derived from the hydrogeologic map of Switzerland by Swisstopo
gauge_id,unconsol_coarse_perc,unconsol_medium_perc,unconsol_fine_perc,unconsol_imperm_perc,hardrock_perc,hardrock_imperm_perc,karst_perc,water_perc,null_perc,ext_area_perc
2004,0.67,2.34,41.48,1.83,28.43,21.85,0.28,3.12,0.0,0.0
2007,0.0,0.0,7.34,3.2,8.73,0.88,75.59,4.26,0.0,0.0
2009,1.13,1.97,13.86,0.18,32.3,30.95,9.05,10.55,0.0,0.01
2011,0.22,1.89,12.849,0.09,32.147,33.177,6.009,13.619,0.0,0.0
2014,1.87,2.41,13.83,0.22,24.17,32.02,21.27,4.21,0.0,0.0
2016,4.2,5.14,23.75,2.09,23.78,18.89,17.12,5.02,0.0,0.01
2017,0.84,12.259,24.888,2.69,17.618,24.428,0.0,17.278,0.0,0.0
2018,1.97,5.58,15.75,0.99,27.16,25.01,16.93,6.61,0.0,0.0
2019,0.96,0.77,3.96,0.11,54.89,10.76,12.52,16.03,0.0,0.0
2020,3.92,1.62,5.96,0.0,35.7,48.9,3.54,0.36,0.0,0.0
2021,0.67,2.96,9.229,0.0,23.268,31.057,25.387,7.429,0.0,0.0
2022,3.15,1.43,8.89,0.09,36.5,39.47,5.01,5.1,0.35,0.01
2023,1.85,0.97,7.87,0.05,43.03,9.1,22.88,14.23,0.0,0.02
2024,0.77,1.96,13.5,0.17,32.17,31.42,7.47,12.54,0.0,0.0
2025,1.99,0.52,6.63,0.0,43.01,24.07,16.46,7.31,0.0,0.01
2026,1.23,3.09,21.188,0.24,22.808,25.127,12.219,14.099,0.0,0.0
2027,1.23,3.09,21.188,0.24,22.808,25.127,12.219,14.099,0.0,0.0
2028,1.23,3.09,21.188,0.24,22.808,25.127,12.219,14.099,0.0,0.0
2029,1.69,3.19,23.53,2.27,21.02,19.41,22.14,6.74,0.0,0.01
2030,1.84,1.59,11.64,0.44,27.75,23.65,23.16,9.93,0.0,0.0
2031,0.0,2.96,26.59,0.0,14.01,42.31,0.0,14.13,0.0,0.0
2032,3.32,3.02,24.86,1.73,15.18,28.74,12.89,4.89,5.37,0.0
2033,0.0,0.29,11.18,0.08,43.02,36.62,6.84,1.97,0.0,0.0
2034,0.54,3.43,34.55,0.99,39.68,20.33,0.48,0.0,0.0,0.0
2041,2.78,1.11,17.43,0.55,23.44,36.96,16.83,0.9,0.0,0.0
2043,3.19,3.6,25.0,2.1,14.56,28.12,12.72,5.19,5.5,0.02
2044,1.35,9.22,29.95,0.51,30.52,23.15,5.21,0.09,0.0,0.0
2053,0.0,0.08,18.77,0.0,32.19,34.89,3.38,10.69,0.0,0.0
2056,1.13,0.38,6.879,0.0,49.175,27.347,8.909,6.179,0.0,0.0
2063,3.48,4.04,23.63,2.08,23.41,19.18,18.65,5.53,0.0,0.0
2066,0.0,2.08,7.35,0.08,49.31,24.79,8.73,7.66,0.0,0.0
2067,0.68,2.08,13.889,0.15,31.977,24.868,23.318,3.04,0.0,0.0
2068,4.32,1.61,5.619,0.0,36.116,48.665,3.33,0.34,0.0,0.0
2070,2.59,2.99,7.429,0.31,56.964,26.527,3.19,0.0,0.0,0.0
2072,0.0,0.87,1.63,0.0,48.975,29.787,6.679,12.059,0.0,0.0
2073,0.0,2.26,5.76,0.0,47.88,24.84,10.24,9.02,0.0,0.0
2074,3.15,1.43,8.89,0.09,36.5,39.47,5.01,5.1,0.35,0.01
2078,0.93,0.0,24.53,0.0,38.99,24.03,7.17,4.35,0.0,0.0
2079,0.85,0.0,81.38,0.0,6.34,1.33,10.09,0.0,0.0,0.01
2081,3.82,17.58,24.5,3.77,22.32,17.79,0.0,10.21,0.0,0.01
2082,10.38,16.45,19.3,2.5,5.45,39.19,0.0,6.72,0.0,0.01
2084,0.2,4.55,12.34,0.33,35.94,10.09,35.56,0.98,0.0,0.01
2085,2.48,4.32,20.87,0.66,26.48,23.8,16.09,5.29,0.0,0.01
2086,1.18,1.98,7.09,0.0,29.79,52.33,7.18,0.44,0.0,0.01
2087,0.0,0.72,6.909,0.0,44.516,42.576,1.22,4.06,0.0,0.0
2088,0.0,3.38,13.99,0.61,13.05,26.53,38.82,3.6,0.0,0.02
2091,3.63,6.0,22.21,1.73,20.78,24.02,14.58,4.55,2.49,0.01
2093,1.62,1.59,11.66,0.45,27.84,23.65,23.23,9.96,0.0,0.0
2097,2.05,9.649,58.594,1.76,0.24,16.808,0.0,10.899,0.0,0.0
2099,1.71,3.51,17.55,0.56,20.33,33.75,16.03,6.56,0.0,0.0
2101,0.0,2.39,7.57,0.0,11.51,34.69,35.15,8.69,0.0,0.0
2102,0.0,3.56,13.95,0.61,13.05,26.55,38.69,3.59,0.0,0.0
2104,0.93,0.72,10.84,0.09,20.95,35.76,26.78,3.92,0.0,0.01
2105,0.0,2.29,7.03,0.0,49.33,24.23,9.15,7.97,0.0,0.0
2106,0.54,4.39,4.06,3.01,18.57,18.08,51.35,0.0,0.0,0.0
2109,1.07,0.58,11.5,0.0,40.06,8.8,26.36,11.61,0.0,0.02
2110,1.96,2.98,12.64,0.48,29.73,26.23,19.74,6.23,0.0,0.01
2112,0.0,0.0,8.28,0.0,23.16,28.26,40.11,0.19,0.0,0.0
2113,3.57,5.66,21.32,1.7,23.76,21.92,16.67,5.4,0.0,0.0
2116,3.7,6.05,24.12,1.86,16.5,26.27,12.25,3.86,5.39,0.0
2117,0.0,0.0,9.69,0.0,26.53,40.81,1.37,21.59,0.0,0.01
2118,0.93,0.72,10.829,0.08,20.948,35.776,26.787,3.93,0.0,0.0
2119,0.54,2.33,24.1,0.62,24.82,30.89,15.45,1.24,0.0,0.01
2122,0.0,0.62,0.81,0.86,11.66,27.34,58.71,0.0,0.0,0.0
2125,1.14,12.119,24.298,2.57,20.038,23.328,0.0,16.508,0.0,0.0
2126,2.41,10.41,25.13,0.0,36.32,25.73,0.0,0.0,0.0,0.0
2130,3.62,5.93,22.49,1.75,20.62,23.93,14.53,4.61,2.52,0.0
2132,5.75,11.91,19.05,0.0,25.85,37.43,0.0,0.0,0.0,0.01
2135,3.21,2.78,15.91,0.76,26.73,21.95,20.32,8.34,0.0,0.0
2137,0.43,6.69,57.96,2.79,0.0,25.11,0.0,7.02,0.0,0.0
2139,7.899,2.54,19.358,13.919,20.548,17.918,17.638,0.18,0.0,0.0
2141,0.0,2.49,15.75,0.05,29.27,20.26,31.45,0.73,0.0,0.0
2143,3.54,6.11,25.61,2.0,15.85,27.43,11.03,4.14,4.29,0.0
2150,0.38,1.34,25.91,0.2,23.06,43.8,4.71,0.6,0.0,0.0
2151,0.18,2.36,9.239,0.0,10.599,55.004,19.498,3.12,0.0,0.0
2152,1.53,2.57,11.08,0.34,30.59,21.97,23.93,7.99,0.0,0.0
2154,0.45,1.28,29.32,4.56,13.15,12.87,29.14,9.23,0.0,0.0
2155,8.85,4.83,17.71,1.63,44.46,20.95,1.53,0.04,0.0,0.0
2157,99.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159,2.03,12.61,40.59,7.59,14.98,14.2,7.63,0.35,0.0,0.02
2160,1.08,1.7,10.599,1.25,20.688,42.546,21.248,0.89,0.0,0.0
2161,0.0,0.0,0.53,0.0,23.94,20.49,0.02,55.02,0.0,0.0
2167,0.67,2.96,9.27,0.0,23.26,31.05,25.37,7.42,0.0,0.0
2168,0.32,4.1,33.02,0.0,0.0,43.74,0.0,18.81,0.0,0.01
2170,0.14,7.41,24.01,1.41,26.24,17.06,19.7,4.02,0.01,0.0
2174,1.32,3.94,22.9,0.45,22.76,22.97,13.94,11.71,0.0,0.01
2176,0.84,9.59,24.2,2.21,16.14,40.59,3.41,3.02,0.0,0.0
2179,0.0,5.23,19.1,0.0,38.71,28.78,8.05,0.13,0.0,0.0
2181,0.23,4.59,21.85,0.13,41.17,23.8,8.17,0.04,0.0,0.02
2185,0.26,0.0,31.18,0.78,13.66,40.07,14.01,0.04,0.0,0.0
2187,14.93,0.0,17.14,8.57,27.14,14.05,18.08,0.09,0.0,0.0
2199,5.31,4.2,1.79,1.03,51.68,26.26,8.26,0.0,1.47,0.0
2200,1.87,0.0,8.16,0.0,37.26,8.1,33.19,11.42,0.0,0.0
2202,0.0,4.5,0.37,0.0,50.27,18.48,26.37,0.0,0.0,0.01
2203,0.0,0.0,9.11,1.84,9.12,48.61,30.58,0.74,0.0,0.0
2205,3.54,5.449,21.458,1.72,23.708,21.978,16.708,5.439,0.0,0.0
2206,0.0,0.0,0.0,0.0,68.99,31.01,0.0,0.0,0.0,0.0
2207,1.53,2.54,10.95,0.34,30.67,21.88,24.05,8.03,0.0,0.01
2208,1.69,3.18,23.5,2.26,21.0,19.44,22.18,6.75,0.0,0.0
2209,1.81,2.37,16.16,0.24,21.18,32.54,18.45,7.25,0.0,0.0
2210,0.0,1.15,6.679,1.9,9.639,2.47,77.532,0.63,0.0,0.0
2215,0.37,4.6,24.818,0.48,28.847,27.717,12.059,1.11,0.0,0.0
2217,1.34,3.92,23.36,0.45,22.53,22.77,13.95,11.59,0.0,0.09
2219,0.0,0.46,2.12,0.0,16.2,27.43,24.41,29.37,0.0,0.01
2232,0.0,0.0,13.45,4.22,6.0,68.16,8.17,0.0,0.0,0.0
2239,0.0,2.88,9.16,0.0,11.88,38.43,35.51,2.14,0.0,0.0
2243,2.29,5.279,18.828,0.91,18.948,33.077,14.679,5.989,0.0,0.0
2244,0.0,0.0,24.86,0.0,58.92,15.39,0.51,0.32,0.0,0.0
2247,0.01,1.7,9.819,2.45,5.749,1.12,78.362,0.79,0.0,0.0
2251,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2252,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2256,0.0,1.79,9.009,0.0,68.053,4.3,1.04,15.808,0.0,0.0
2262,0.0,2.77,10.05,0.0,52.69,17.64,5.11,11.74,0.0,0.0
2263,0.0,0.0,17.91,0.0,29.47,31.72,20.82,0.07,0.0,0.01
2265,0.83,1.7,13.58,0.18,35.41,22.82,21.8,3.68,0.0,0.0
2268,0.0,0.0,2.39,0.0,47.54,8.21,0.0,41.86,0.0,0.0
2269,0.0,0.0,6.6,0.0,11.46,56.05,1.76,24.13,0.0,0.0
2270,0.0,1.47,8.53,2.12,6.72,1.64,78.71,0.8,0.0,0.01
2276,0.0,0.0,10.63,0.0,11.16,4.03,70.95,3.23,0.0,0.0
2282,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2283,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2288,3.37,4.07,25.33,2.11,14.12,27.83,12.83,5.02,5.32,0.0
2289,3.56,6.06,21.48,1.74,20.88,23.81,15.69,4.38,2.39,0.01
2290,0.0,0.01,5.47,0.0,3.29,4.43,86.36,0.44,0.0,0.0
2299,0.0,0.0,0.0,0.0,63.404,0.0,20.978,15.618,0.0,0.0
2300,0.0,3.86,11.61,0.49,21.24,51.32,11.48,0.0,0.0,0.0
2303,0.0,0.42,9.62,0.0,57.46,20.97,11.53,0.0,0.0,0.0
2304,0.0,0.0,14.91,0.0,12.35,0.0,72.74,0.0,0.0,0.0
2305,0.0,0.0,12.31,0.0,53.35,34.34,0.0,0.0,0.0,0.0
2307,0.0,0.0,16.28,0.0,9.48,8.44,65.8,0.0,0.0,0.0
2308,0.02,0.49,16.138,0.0,22.508,60.844,0.0,0.0,0.0,0.0
2309,16.7,45.67,15.03,0.0,0.0,22.6,0.0,0.0,0.0,0.0
2312,0.0,13.11,85.88,0.0,0.0,0.78,0.0,0.23,0.0,0.0
2319,0.0,0.0,16.48,0.0,1.66,4.54,77.31,0.0,0.0,0.01
2321,0.0,1.54,6.46,0.0,17.58,68.95,5.47,0.0,0.0,0.0
2327,0.0,0.0,18.58,0.0,53.14,26.36,0.0,1.92,0.0,0.0
2342,0.0,0.81,4.0,0.0,43.96,47.39,0.77,3.06,0.0,0.01
2343,7.07,2.88,11.46,0.0,77.47,1.12,0.0,0.0,0.0,0.0
2346,0.0,0.28,7.02,0.0,36.26,35.66,1.89,18.89,0.0,0.0
2347,0.0,0.0,0.0,0.0,38.22,61.78,0.0,0.0,0.0,0.0
2349,0.0,0.0,0.77,0.0,1.19,1.03,97.01,0.0,0.0,0.0
2351,0.0,0.1,12.81,0.0,30.24,34.67,1.01,21.17,0.0,0.0
2352,0.0,0.69,7.149,0.0,18.098,16.808,49.075,8.179,0.0,0.0
2355,0.0,3.32,21.16,0.14,32.68,33.79,8.12,0.78,0.0,0.01
2356,0.0,0.0,4.14,0.0,95.86,0.0,0.0,0.0,0.0,0.0
2364,0.19,0.66,8.259,0.0,17.508,66.773,6.189,0.42,0.0,0.0
2366,0.0,0.0,1.04,0.0,59.14,32.33,7.48,0.0,0.0,0.01
2368,0.25,2.43,4.04,0.0,55.51,36.81,0.13,0.82,0.0,0.01
2369,0.0,0.25,43.77,1.56,16.97,37.45,0.0,0.0,0.0,0.0
2370,0.0,1.41,8.13,2.2,6.86,1.72,78.92,0.76,0.0,0.0
2371,0.0,0.0,12.049,8.819,11.749,1.95,63.574,1.86,0.0,0.0
2372,0.64,0.49,10.85,0.0,20.98,35.88,28.09,3.07,0.0,0.0
2374,0.0,0.0,7.93,0.0,42.41,49.65,0.0,0.0,0.0,0.01
2378,0.0,0.0,10.13,1.95,10.87,2.23,72.03,2.77,0.0,0.02
2386,0.91,12.909,31.497,0.6,21.138,32.887,0.0,0.06,0.0,0.0
2387,0.02,1.71,14.78,0.14,28.88,34.57,18.81,1.09,0.0,0.0
2392,3.38,4.14,25.317,2.12,14.099,27.807,12.819,5.009,5.309,0.0
2403,1.37,2.09,14.12,0.15,44.63,21.14,11.2,5.29,0.0,0.01
2409,0.0,0.47,7.6,0.0,36.05,46.19,9.69,0.0,0.0,0.0
2410,13.56,2.22,31.83,4.87,15.85,16.86,14.81,0.0,0.0,0.0
2412,0.0,2.76,75.51,0.0,1.93,18.3,1.5,0.0,0.0,0.0
2414,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2415,12.04,21.92,25.13,7.71,5.14,25.0,0.42,2.64,0.0,0.0
2416,0.43,6.83,57.88,2.78,0.0,25.07,0.0,7.01,0.0,0.0
2417,0.32,4.24,33.1,0.0,0.0,43.59,0.0,18.75,0.0,0.0
2418,0.0,0.79,24.79,0.0,33.23,26.86,13.7,0.63,0.0,0.0
2419,0.0,0.0,7.53,0.0,51.08,26.52,1.38,13.49,0.0,0.0
2420,2.71,2.55,4.65,0.0,38.75,50.59,0.7,0.05,0.0,0.0
2426,0.22,0.0,7.37,0.0,4.45,82.55,5.29,0.12,0.0,0.0
2430,0.0,0.0,0.45,0.0,45.58,48.3,5.46,0.21,0.0,0.0
2432,0.37,4.04,69.223,0.58,0.46,9.279,16.048,0.0,0.0,0.0
2433,0.0,9.15,49.3,0.0,2.05,0.0,39.5,0.0,0.0,0.0
2434,13.6,7.11,2.76,0.18,22.9,23.5,29.95,0.0,0.0,0.0
2436,0.0,1.48,0.12,0.0,2.07,71.76,24.57,0.0,0.0,0.0
2437,0.0,0.0,31.48,0.0,41.89,26.63,0.0,0.0,0.0,0.0
2446,0.45,1.27,29.25,4.86,13.1,12.92,28.96,9.18,0.0,0.01
2447,0.67,2.33,41.44,1.92,28.4,21.83,0.28,3.12,0.0,0.01
2450,9.129,6.609,16.598,3.1,56.134,8.209,0.0,0.22,0.0,0.0
2457,1.85,0.97,7.87,0.05,43.02,9.1,22.89,14.23,0.0,0.02
2458,0.0,3.21,38.93,0.0,5.59,4.95,47.32,0.0,0.0,0.0
2461,0.28,0.0,2.81,0.0,46.1,50.81,0.0,0.0,0.0,0.0
2462,1.63,2.15,13.49,0.18,46.78,19.33,10.4,6.03,0.0,0.01
2463,0.0,19.198,6.479,0.0,14.799,59.524,0.0,0.0,0.0,0.0
2467,0.37,4.759,24.995,0.48,28.594,27.764,11.938,1.1,0.0,0.0
2468,0.0,0.69,11.25,0.0,34.4,41.35,12.19,0.12,0.0,0.0
2469,1.39,2.35,18.43,1.34,20.72,22.98,27.69,5.1,0.0,0.0
2471,3.85,11.96,7.4,0.0,64.93,11.86,0.0,0.0,0.0,0.0
2473,2.89,1.33,17.348,0.57,22.898,36.846,17.238,0.88,0.0,0.0
2474,0.0,2.04,7.56,0.0,34.53,55.87,0.0,0.0,0.0,0.0
2475,0.0,0.2,4.72,0.0,53.57,38.83,0.32,2.36,0.0,0.0
2477,1.07,21.028,29.547,0.83,6.729,34.017,0.0,6.779,0.0,0.0
2478,0.0,3.58,5.899,1.75,18.578,20.848,49.345,0.0,0.0,0.0
2480,0.0,1.41,6.68,3.27,8.12,2.83,77.57,0.12,0.0,0.0
2481,0.21,4.97,17.86,0.0,23.62,12.06,39.14,2.14,0.0,0.0
2484,0.0,8.62,23.97,1.45,38.14,20.17,3.87,3.78,0.0,0.0
2485,0.0,2.58,7.98,9.87,9.95,7.41,62.21,0.0,0.0,0.0
2486,0.0,0.05,21.02,0.0,35.73,19.88,23.32,0.0,0.0,0.0
2487,0.0,1.84,14.33,1.03,36.69,37.09,9.02,0.0,0.0,0.0
2488,0.11,1.45,11.349,0.43,9.609,52.165,22.938,1.95,0.0,0.0
2490,0.0,0.51,54.67,0.0,2.67,0.88,41.26,0.0,0.0,0.01
2491,0.0,0.05,17.84,0.0,47.07,10.06,22.79,2.18,0.0,0.01
2493,0.0,3.27,40.59,0.0,0.98,0.0,55.16,0.0,0.0,0.0
2494,1.75,1.05,7.209,0.0,27.904,56.459,4.839,0.79,0.0,0.0
2497,6.18,5.79,9.4,0.0,78.63,0.0,0.0,0.0,0.0,0.0
2498,0.0,0.0,13.02,0.0,15.46,65.72,4.83,0.96,0.0,0.01
2500,13.61,5.31,55.61,1.79,23.18,0.5,0.0,0.0,0.0,0.0
2602,0.32,1.12,16.11,0.1,27.81,39.95,13.42,1.17,0.0,0.0
2603,2.21,4.64,0.48,0.0,65.79,25.76,1.11,0.0,0.0,0.01
2604,0.0,6.33,42.2,7.33,21.2,22.93,0.0,0.0,0.0,0.01
2605,0.0,0.0,3.24,0.0,66.11,30.53,0.07,0.05,0.0,0.0
2606,1.24,3.09,21.188,0.24,22.808,25.117,12.219,14.099,0.0,0.0
2607,0.0,0.0,0.0,0.0,71.32,20.33,0.0,8.35,0.0,0.0
2608,0.0,0.32,16.67,0.0,0.0,83.01,0.0,0.0,0.0,0.0
2609,6.02,6.02,18.97,0.0,14.15,52.57,2.27,0.0,0.0,0.0
2610,0.0,0.61,3.11,5.12,35.68,24.49,30.98,0.0,0.0,0.01
2612,0.0,0.0,0.0,0.0,63.92,36.08,0.0,0.0,0.0,0.0
2613,3.6,6.13,21.19,1.76,21.24,23.81,15.59,4.31,2.37,0.0
2615,3.56,6.109,21.448,1.77,20.858,23.798,15.698,4.37,2.39,0.0
2617,0.0,3.03,23.56,0.0,31.97,13.47,27.84,0.13,0.0,0.0
2620,0.0,1.93,3.31,0.0,64.09,21.99,1.45,7.23,0.0,0.0
2623,0.0,0.0,1.78,0.0,59.52,17.35,0.0,21.35,0.0,0.0
2629,0.0,6.06,4.79,0.0,37.11,51.96,0.0,0.07,0.0,0.01
2630,0.01,0.0,16.47,0.0,32.93,21.37,29.22,0.0,0.0,0.0
2631,0.0,4.8,0.0,0.0,27.8,50.77,1.42,15.2,0.0,0.01
2634,1.85,2.39,18.03,1.09,31.19,38.4,7.05,0.0,0.0,0.0
2635,0.0,0.0,6.6,0.0,11.41,81.99,0.0,0.0,0.0,0.0
2640,0.0,5.69,9.62,1.48,15.95,16.65,50.6,0.0,0.0,0.01
