# Hydrological signatures calculated with observation-based data. Only years with complete hydrological year are used (5% missing values are tolerated per hydrological year).
gauge_id,sign_start_date,sign_end_date,sign_number_of_years,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index_landson,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
2004,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009,1981-10-01,2020-09-30,39,3.09,0.868,0.767,1.296,0.787,243.282,1.279,6.207,0.0,0.0,0.051,2.0,0.0
2011,1981-10-01,2020-09-30,39,2.675,0.787,0.8,2.39,0.751,263.667,0.821,6.681,0.051,1.0,0.436,1.0,0.0
2014,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016,1981-10-01,2020-09-30,39,2.327,0.637,1.122,1.131,0.786,201.974,1.044,4.562,0.0,0.0,0.0,0.0,0.0
2017,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018,1981-10-01,2020-09-30,39,3.556,0.817,1.045,1.781,0.767,237.41,1.189,7.4,0.0,0.0,0.0,0.0,0.0
2019,1981-10-01,2020-09-30,39,5.671,1.119,0.589,2.332,0.754,255.538,1.532,12.104,0.077,1.5,5.769,2.394,0.0
2020,1981-10-01,2020-09-30,39,3.692,0.811,1.013,1.694,0.683,223.718,1.11,8.963,1.462,1.326,1.385,1.174,0.0
2021,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024,1981-10-01,2020-09-30,39,3.215,0.937,0.787,1.453,0.758,251.744,1.125,6.989,0.0,0.0,0.051,1.0,0.0
2025,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2027,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2028,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2029,1981-10-01,2020-09-30,39,2.528,0.668,1.2,1.242,0.781,210.615,1.078,5.011,0.0,0.0,0.0,0.0,0.0
2030,1981-10-01,2020-09-30,39,3.934,0.891,0.95,2.463,0.778,248.795,1.215,8.6,0.0,0.0,0.0,0.0,0.0
2031,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2032,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2033,1981-10-01,2020-09-30,39,3.667,0.875,0.948,1.604,0.714,242.641,0.986,8.762,0.231,1.286,6.974,1.629,0.0
2034,1981-10-01,2020-09-30,39,1.615,0.489,1.649,2.331,0.539,145.0,0.259,5.175,6.359,1.467,32.743,6.757,0.0
2041,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2043,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2044,1981-10-01,2020-09-30,39,2.375,0.619,1.411,2.066,0.552,188.718,0.486,6.734,2.333,1.338,17.051,7.074,0.0
2053,1991-10-01,2020-09-30,29,1.264,0.362,0.993,1.552,0.784,243.897,0.453,2.922,0.034,1.0,0.034,1.0,0.0
2056,1981-10-01,2020-09-30,39,4.434,0.965,1.067,2.973,0.737,255.487,1.017,11.302,0.179,1.4,10.795,3.368,0.0
2063,1981-10-01,2020-09-30,39,2.474,0.663,1.177,1.177,0.783,205.103,1.092,4.921,0.0,0.0,0.0,0.0,0.0
2066,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2067,1981-10-01,2020-09-30,39,2.379,0.9,1.045,1.858,0.659,250.641,0.366,6.192,0.077,1.0,33.051,1.868,0.0
2068,1981-10-01,2020-09-30,26,3.792,0.844,1.111,1.65,0.69,219.346,1.189,9.114,1.192,1.192,1.0,1.083,0.0
2070,1981-10-01,2020-09-30,39,2.291,0.537,1.637,2.517,0.535,199.641,0.364,6.812,3.436,1.411,38.692,6.236,0.0
2072,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2073,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2074,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2078,1981-10-01,2020-09-30,39,2.915,0.809,0.961,2.015,0.721,244.641,0.71,7.205,0.436,1.7,10.692,2.957,0.0
2079,1981-10-01,2020-09-30,39,9.524,3.281,1.022,5.626,0.686,217.486,0.0,33.949,0.179,1.75,126.357,39.742,0.27
2081,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2082,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2084,1981-10-01,2020-09-30,39,5.227,0.97,1.431,2.556,0.635,239.744,0.829,14.043,0.692,1.227,33.487,4.268,0.0
2085,1984-10-01,2020-09-30,36,2.927,0.732,0.943,1.584,0.776,231.833,1.071,5.764,0.0,0.0,0.083,1.0,0.0
2086,1981-10-01,2020-09-30,39,0.968,0.218,1.629,1.666,0.635,213.41,0.283,2.39,5.513,1.937,2.0,19.5,0.0
2087,1981-10-01,2020-09-30,39,3.193,0.679,1.005,2.787,0.689,250.59,0.719,9.12,1.949,1.551,6.769,5.388,0.0
2088,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2091,1981-10-01,2020-09-30,39,2.593,0.695,1.325,1.08,0.826,211.308,1.29,4.637,0.0,0.0,0.0,0.0,0.0
2093,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2097,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2099,1981-10-01,2020-09-30,39,3.723,0.787,1.193,1.177,0.772,215.641,1.657,7.663,0.0,0.0,0.0,0.0,0.0
2101,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2102,1981-10-01,2020-09-30,39,3.221,0.71,1.199,1.177,0.761,202.026,1.307,6.566,0.077,3.0,0.462,3.6,0.0
2104,1981-10-01,2020-09-30,39,4.222,0.862,0.995,1.608,0.792,233.795,1.689,8.92,0.0,0.0,0.0,0.0,0.0
2105,1981-10-01,2020-09-30,39,3.119,1.098,1.068,3.485,0.675,261.051,0.587,9.696,2.82,2.973,24.948,7.207,0.0
2106,1981-10-01,2020-09-30,39,1.518,0.449,1.503,2.258,0.587,159.513,0.293,4.476,2.461,1.5,20.589,7.505,0.0
2109,1981-10-01,2020-09-30,39,4.328,0.892,0.775,4.072,0.704,269.744,0.628,11.9,0.256,1.111,61.64,15.119,0.0
2110,1981-10-01,2020-09-30,39,3.83,0.854,0.995,1.854,0.761,239.538,1.207,8.112,0.0,0.0,0.0,0.0,0.0
2112,1981-10-01,2020-09-30,39,3.938,0.754,1.365,2.339,0.502,216.051,0.672,12.321,5.282,1.248,30.589,5.472,0.0
2113,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2116,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2117,1981-10-01,2020-09-30,39,0.728,0.209,0.809,2.821,0.746,252.026,0.188,1.827,0.538,1.167,1.564,3.211,0.0
2118,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2119,1981-10-01,2020-09-30,39,2.745,0.692,1.323,1.657,0.664,192.897,0.517,5.878,0.051,1.0,20.128,2.071,0.0
2122,1981-10-01,2020-09-30,39,1.478,0.38,1.226,1.878,0.654,163.538,0.379,3.833,1.333,1.3,4.128,5.75,0.0
2125,1981-10-01,2020-09-30,39,2.505,0.64,1.148,1.208,0.837,204.128,1.194,4.728,0.0,0.0,0.282,2.75,0.0
2126,1981-10-01,2020-09-30,39,1.927,0.543,1.297,2.051,0.576,161.179,0.447,5.675,2.872,1.302,9.795,4.244,0.0
2130,1981-10-01,1985-09-30,4,2.795,0.723,2.284,0.949,0.83,210.5,1.372,4.56,0.0,0.0,0.0,0.0,0.0
2132,1981-10-01,2020-09-30,39,1.949,0.531,1.397,2.137,0.566,170.231,0.461,5.665,3.077,1.412,8.051,4.984,0.0
2135,1981-10-01,2020-09-30,39,3.603,0.848,0.933,2.228,0.786,245.462,1.235,7.623,0.0,0.0,0.0,0.0,0.0
2137,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2139,1981-10-01,2020-09-30,39,5.663,1.411,1.251,1.152,0.758,200.923,2.455,10.908,0.128,1.25,0.0,0.0,0.0
2141,1981-10-01,2020-09-30,39,2.442,0.879,1.035,2.273,0.763,250.513,0.782,6.256,0.026,1.0,0.0,0.0,0.0
2143,1981-10-01,2020-09-30,39,2.606,0.731,1.322,1.043,0.862,216.231,1.383,4.447,0.0,0.0,0.0,0.0,0.0
2150,1981-10-01,2020-09-30,39,3.314,0.937,1.338,2.331,0.72,241.154,0.901,8.897,0.513,2.0,2.667,4.16,0.0
2151,1981-10-01,2020-09-30,39,3.012,0.708,1.123,2.148,0.723,231.564,0.825,7.093,0.179,1.4,0.718,7.0,0.0
2152,1981-10-01,2020-09-30,39,4.164,0.905,1.075,1.981,0.766,244.615,1.274,9.183,0.0,0.0,0.0,0.0,0.0
2154,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2155,1981-10-01,2020-09-30,39,0.884,0.235,2.377,3.705,0.407,191.051,0.089,3.476,22.461,1.934,110.229,6.77,0.0
2157,1981-10-01,2020-09-30,39,4.5,1.521,0.147,0.422,0.931,180.256,3.394,5.949,0.0,0.0,0.0,0.0,0.0
2159,1981-10-01,2020-09-30,39,1.991,0.581,1.4,1.65,0.641,192.641,0.591,5.255,1.051,1.242,2.461,2.824,0.0
2160,1981-10-01,2020-09-30,39,2.843,0.679,1.327,2.235,0.626,209.59,0.678,7.462,0.641,1.389,5.333,4.426,0.0
2161,1981-10-01,2020-09-30,39,6.492,1.164,-0.031,8.849,0.613,295.923,0.118,25.058,93.152,18.631,184.612,79.121,0.0
2167,1981-10-01,2020-09-30,39,3.036,0.626,1.599,2.096,0.602,188.615,0.697,9.727,3.641,4.897,11.538,11.25,0.0
2168,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2170,1981-10-01,2020-09-30,39,3.252,0.799,1.05,1.783,0.703,221.769,0.917,7.487,0.077,1.0,2.846,4.625,0.0
