# Land cover attributes as area percentages based on the CORINE land cover database of the year 2000 by the European Copernicus Land Monitoring Service
gauge_id,crop_perc,grass_perc,scrub_perc,dwood_perc,mixed_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,dom_land_cover
2004,68.15,1.17,0.5,0.67,13.5,5.94,0.0,3.18,0.0,0.0,0.0,6.87,crop_perc
2007,6.39,21.93,0.67,1.25,8.53,52.46,1.64,4.71,0.0,0.0,0.0,2.41,ewood_perc
2009,2.46,19.09,1.97,0.42,2.92,19.78,3.45,0.34,13.82,8.99,23.64,3.12,rock_perc
2011,2.55,17.98,1.02,0.1,1.7,18.38,2.25,0.28,17.92,8.81,26.45,2.57,rock_perc
2014,7.72,33.41,0.08,0.74,14.15,15.21,3.66,3.41,1.45,5.85,10.16,4.16,grass_perc
2016,32.9,17.22,0.82,1.38,14.85,14.27,0.79,3.74,2.01,1.54,3.62,6.86,crop_perc
2017,23.15,19.8,0.45,0.0,13.86,13.22,0.3,18.27,0.0,0.18,0.0,10.75,crop_perc
2018,11.9,28.75,0.89,0.67,12.22,14.23,3.39,5.21,2.47,4.94,9.97,5.37,grass_perc
2019,0.6,20.19,0.0,0.79,7.74,6.28,5.7,1.09,20.86,7.87,28.45,0.44,rock_perc
2020,1.97,20.0,0.03,13.14,4.17,27.16,9.02,0.29,0.36,8.55,13.2,2.1,ewood_perc
2021,2.52,11.07,1.02,55.84,1.61,3.14,2.16,8.16,0.0,0.71,0.0,13.78,dwood_perc
2022,4.23,14.36,3.74,27.52,8.7,12.38,5.27,4.86,0.65,5.2,7.78,5.3,dwood_perc
2023,1.29,25.96,0.0,1.06,9.09,10.87,3.5,3.14,16.54,5.49,21.54,1.54,grass_perc
2024,2.63,18.28,1.74,0.09,1.94,18.88,2.17,0.26,16.43,8.81,25.76,3.01,rock_perc
2025,0.67,27.04,0.0,0.42,5.65,11.22,8.86,2.36,7.47,10.55,24.22,1.54,grass_perc
2026,9.01,16.44,1.86,2.44,6.43,17.0,2.44,7.49,9.05,6.2,15.82,5.83,ewood_perc
2027,9.01,16.44,1.86,2.44,6.43,17.0,2.44,7.49,9.05,6.2,15.82,5.83,ewood_perc
2028,9.01,16.44,1.86,2.44,6.43,17.0,2.44,7.49,9.05,6.2,15.82,5.83,ewood_perc
2029,27.71,20.93,0.91,1.2,13.58,14.62,1.11,4.78,2.85,2.08,5.12,5.12,crop_perc
2030,1.26,35.52,1.06,0.57,7.38,15.9,2.47,3.45,9.41,4.95,15.61,2.43,grass_perc
2031,0.01,35.27,0.42,0.0,9.15,35.74,0.0,15.09,0.0,0.0,0.0,4.32,ewood_perc
2032,11.47,31.28,0.94,1.13,8.46,19.17,3.43,4.63,0.57,6.64,7.4,4.88,grass_perc
2033,0.04,35.07,0.0,0.04,1.74,16.69,7.95,0.51,2.4,13.22,21.44,0.92,grass_perc
2034,69.21,2.01,0.27,0.92,13.71,9.0,0.0,0.0,0.0,0.0,0.0,4.87,crop_perc
2041,2.73,34.61,0.12,0.82,4.84,23.07,5.2,0.39,1.01,11.4,13.11,2.7,grass_perc
2043,12.63,30.17,0.9,1.21,9.19,18.53,3.36,4.95,0.54,6.33,7.03,5.17,grass_perc
2044,32.97,28.19,0.08,0.27,14.85,13.92,0.3,0.04,0.0,1.09,0.46,7.84,crop_perc
2053,1.22,19.24,0.36,0.08,1.02,19.5,7.89,0.44,13.81,11.47,23.54,1.43,rock_perc
2056,0.67,26.24,0.0,0.17,3.39,10.23,10.31,0.23,8.52,11.71,27.59,0.94,rock_perc
2063,30.5,19.3,0.8,1.1,13.99,15.31,0.92,4.0,2.34,1.77,4.2,5.78,crop_perc
2066,0.25,22.73,0.0,0.0,0.86,14.04,2.31,4.71,5.25,19.51,28.13,2.22,rock_perc
2067,0.13,23.38,0.78,0.0,0.12,18.17,5.44,0.67,3.73,17.71,29.06,0.81,rock_perc
2068,2.01,19.08,0.05,15.48,4.3,26.06,9.13,0.27,0.34,8.2,12.45,2.62,ewood_perc
2070,5.17,45.09,0.52,0.0,5.38,41.05,0.24,0.0,0.0,1.3,0.12,1.13,grass_perc
2072,0.94,24.78,0.0,0.0,0.56,8.65,6.54,9.0,6.76,18.18,24.4,0.18,grass_perc
2073,0.31,23.01,0.0,0.0,1.08,9.95,2.48,5.33,6.54,20.71,29.75,0.84,rock_perc
2074,4.23,14.36,3.74,27.52,8.7,12.38,5.27,4.86,0.65,5.2,7.78,5.3,dwood_perc
2078,0.0,19.16,0.0,0.0,0.39,27.38,8.17,0.88,5.74,19.85,17.46,0.97,ewood_perc
2079,0.0,31.24,0.0,0.0,0.0,68.76,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
2081,45.08,0.07,2.8,0.0,5.22,13.61,6.95,10.59,0.0,0.99,0.0,14.69,crop_perc
2082,52.93,0.04,1.8,0.0,9.77,7.47,2.36,6.85,0.0,0.2,0.0,18.59,crop_perc
2084,3.43,43.21,0.25,1.12,14.07,12.96,0.87,0.95,0.0,6.58,13.72,2.85,grass_perc
2085,18.12,29.49,0.93,0.42,9.08,17.51,1.56,2.07,4.6,3.32,8.26,4.65,grass_perc
