# Soil attributes based on EU-SoilHydroGrids (3D soil hydraulic database of Europe) and European Soil Database Derived data (Europe, 1km resolution, soil topological units; ESDD)
gauge_id,sand_perc,sand_perc_5,sand_perc_25,sand_perc_50,sand_perc_75,sand_perc_90,sand_perc_skewness,sand_perc_missing,silt_perc,silt_perc_5,silt_perc_25,silt_perc_50,silt_perc_75,silt_perc_90,silt_perc_skewness,silt_perc_missing,clay_perc,clay_perc_5,clay_perc_25,clay_perc_50,clay_perc_75,clay_perc_90,clay_perc_skewness,clay_perc_missing,organic_perc,organic_perc_5,organic_perc_25,organic_perc_50,organic_perc_75,organic_perc_90,organic_perc_skewness,organic_perc_missing,bulk_dens,bulk_dens_5,bulk_dens_25,bulk_dens_50,bulk_dens_75,bulk_dens_90,bulk_dens_skewness,bulk_dens_missing,tot_avail_water,tot_avail_water_5,tot_avail_water_25,tot_avail_water_50,tot_avail_water_75,tot_avail_water_90,tot_avail_water_skewness,tot_avail_water_missing,root_depth,root_depth_5,root_depth_25,root_depth_50,root_depth_75,root_depth_90,root_depth_skewness,root_depth_missing,coarse_fragm_perc,coarse_fragm_perc_5,coarse_fragm_perc_25,coarse_fragm_perc_50,coarse_fragm_perc_75,coarse_fragm_perc_90,coarse_fragm_perc_skewness,coarse_fragm_perc_missing,porosity,porosity_5,porosity_25,porosity_50,porosity_75,porosity_90,porosity_skewness,porosity_missing,conductivity,conductivity_5,conductivity_25,conductivity_50,conductivity_75,conductivity_90,conductivity_skewness,conductivity_missing
2004,45.563,37.508,40.467,41.076,44.085,74.961,0.376,2.8,32.7,13.588,32.777,34.576,35.442,35.969,-0.252,2.8,21.737,10.039,20.18,24.156,24.96,26.872,-0.448,2.8,1.484,0.408,0.54,0.599,0.707,1.141,0.165,2.8,1.386,1.347,1.376,1.387,1.416,1.575,-0.004,2.8,99.623,73.999,95.416,96.461,104.021,110.097,0.146,2.8,1.246,0.998,1.185,1.233,1.282,1.436,0.054,0.0,11.923,3.438,6.408,12.421,16.515,16.841,-0.101,2.8,44.855,43.727,44.267,44.724,45.289,46.383,0.157,2.79,81.482,6.437,68.524,74.878,116.623,141.626,0.175,2.79
2007,61.991,38.69,44.119,62.879,76.283,77.718,-0.053,3.05,23.523,13.007,15.164,15.951,35.726,41.85,0.635,3.05,14.485,6.982,7.832,16.061,20.148,27.04,-0.241,3.05,4.084,0.437,0.589,0.789,1.285,20.031,0.314,3.05,1.374,0.769,1.363,1.432,1.532,1.61,-0.159,3.05,96.715,50.833,77.614,84.779,113.262,162.376,0.3,3.05,1.117,0.366,1.001,1.101,1.2,1.28,0.048,0.0,6.332,2.917,4.43,5.615,8.787,11.393,0.215,3.05,49.508,47.485,49.088,49.639,50.151,50.647,-0.138,3.17,32.419,3.892,9.937,28.97,55.072,79.319,0.13,3.17
2009,67.988,36.154,54.949,72.942,78.241,87.653,-0.296,39.83,20.676,8.347,13.644,17.632,26.263,38.846,0.285,39.83,11.336,4.295,8.121,9.389,13.135,24.025,0.3,39.83,0.944,0.378,0.443,0.786,1.312,2.303,0.276,39.83,1.55,1.352,1.418,1.583,1.608,1.737,-0.252,39.83,69.593,17.606,42.929,70.22,103.495,113.55,-0.018,39.83,0.563,0.012,0.06,0.267,1.192,1.278,0.498,0.0,9.976,2.637,3.86,8.422,15.822,20.737,0.221,39.83,45.708,22.657,43.182,48.119,50.14,53.049,-0.316,4.19,36.593,26.699,27.583,29.476,31.819,81.072,0.325,4.19
2011,68.06,36.264,55.641,73.374,78.133,87.654,-0.311,45.21,20.656,8.346,13.621,17.722,28.769,40.663,0.267,45.21,11.284,4.297,8.24,9.343,12.721,24.006,0.303,45.21,0.975,0.426,0.444,0.8,1.332,2.326,0.305,45.21,1.559,1.359,1.486,1.587,1.597,1.737,-0.225,45.21,64.604,16.382,37.101,69.509,102.345,114.609,-0.135,45.21,0.473,0.01,0.052,0.137,1.041,1.248,0.586,0.0,11.031,2.663,3.937,9.941,17.061,20.199,0.149,45.21,45.247,22.442,40.427,48.12,50.552,53.462,-0.342,5.92,34.908,26.649,27.49,29.062,31.515,80.018,0.303,5.92
2014,63.662,38.021,43.862,69.489,74.629,82.409,-0.368,17.04,21.999,8.692,15.78,17.841,34.419,37.305,0.421,17.04,14.339,5.737,9.466,13.67,19.83,25.457,0.098,17.04,1.151,0.346,0.428,0.57,0.792,1.358,0.136,17.04,1.489,1.359,1.385,1.524,1.567,1.67,-0.193,17.04,84.988,28.69,73.569,93.315,105.015,113.069,-0.301,17.04,0.952,0.028,0.514,1.195,1.262,1.409,-0.446,0.0,9.34,2.742,4.571,8.41,14.362,19.226,0.157,17.04,48.837,40.509,47.609,49.703,51.136,52.619,-0.231,3.47,25.776,2.682,15.659,27.791,29.936,64.595,-0.112,3.47
2016,51.798,36.484,40.537,43.219,70.283,78.005,0.514,11.4,29.174,11.075,16.782,34.453,35.35,43.303,-0.49,11.4,19.028,7.227,14.222,20.058,24.384,27.121,-0.139,11.4,1.621,0.38,0.517,0.614,0.765,1.696,0.18,11.4,1.404,1.22,1.374,1.389,1.51,1.626,0.069,11.4,96.879,48.088,86.914,96.714,107.874,114.376,0.006,11.4,1.083,0.043,1.154,1.21,1.265,1.393,-0.282,0.0,9.458,2.794,4.785,8.789,14.101,16.862,0.124,11.4,46.367,43.183,44.606,46.062,48.598,50.863,0.096,3.62,52.259,2.803,27.685,50.933,74.854,126.135,0.035,3.62
2017,47.703,36.613,40.481,41.217,50.024,68.08,0.538,16.8,31.849,18.827,27.586,34.509,35.141,37.574,-0.382,16.8,20.448,10.822,15.755,24.142,24.8,25.426,-0.617,16.8,1.106,0.387,0.445,0.58,0.619,0.72,0.115,16.8,1.413,1.365,1.377,1.385,1.482,1.548,0.171,16.8,97.26,77.209,95.432,97.681,104.828,108.805,-0.036,16.8,1.052,0.167,1.018,1.148,1.278,1.452,-0.194,0.0,10.591,2.74,4.745,11.395,14.492,16.772,-0.15,16.8,47.507,43.69,46.299,47.466,48.85,51.149,0.019,16.17,34.559,2.905,5.002,28.532,56.292,107.041,0.173,16.17
2018,58.452,36.408,41.164,60.797,72.927,82.382,-0.13,19.28,25.647,9.952,16.116,26.206,34.606,38.027,-0.048,19.28,15.901,5.748,9.734,14.644,24.116,26.843,0.17,19.28,0.955,0.38,0.442,0.589,0.812,1.578,0.128,19.28,1.473,1.357,1.384,1.508,1.56,1.67,-0.223,19.28,89.205,33.554,79.35,95.462,105.817,113.384,-0.226,19.28,0.943,0.025,0.293,1.189,1.257,1.389,-0.448,0.0,9.327,2.745,4.551,8.464,14.241,18.693,0.148,19.28,48.066,40.265,45.842,48.837,51.294,52.941,-0.177,5.16,31.426,2.682,15.86,28.917,32.535,79.493,0.097,5.16
2019,74.515,50.017,70.956,75.494,80.542,86.324,-0.079,63.29,16.32,8.738,10.769,15.373,18.493,37.159,0.114,63.29,9.165,4.469,6.346,9.239,10.594,17.459,-0.016,63.29,0.835,0.395,0.45,0.735,1.02,1.379,0.235,63.29,1.59,1.373,1.531,1.587,1.646,1.719,0.027,63.29,72.395,21.538,68.554,70.565,102.877,113.297,0.057,63.29,0.385,0.008,0.039,0.077,1.021,1.244,0.535,0.0,8.72,2.924,4.091,4.823,12.867,19.454,0.582,63.29,46.561,38.302,40.337,50.333,51.74,53.384,-0.513,8.07,26.74,16.032,27.204,27.533,28.953,31.988,-0.113,8.07
2020,70.681,40.808,64.519,73.304,78.394,87.666,-0.176,21.28,18.866,8.334,12.12,17.55,25.471,35.7,0.138,21.28,10.453,4.237,8.392,9.369,10.906,23.438,0.189,21.28,0.996,0.423,0.442,0.838,1.409,2.105,0.281,21.28,1.579,1.376,1.549,1.587,1.597,1.737,-0.068,21.28,58.468,16.186,30.66,68.042,83.486,105.389,-0.29,21.28,0.64,0.02,0.104,0.518,1.191,1.278,0.217,0.0,11.643,2.635,3.726,13.726,17.156,20.231,-0.278,21.28,48.902,39.745,47.719,50.613,51.753,53.006,-0.371,0.18,29.762,26.924,27.47,27.984,28.791,29.437,0.162,0.18
