# Hydrological signatures calculated with simulation-based data. Only years with complete hydrological year are used (5% missing values are tolerated per hydrological year).
gauge_id,sign_start_date,sign_end_date,sign_number_of_years,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index_landson,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
2004,1981-10-01,2020-09-30,39,1.688,0.517,1.678,2.022,0.572,137.846,0.24,5.358,3.282,1.753,33.435,19.463,0.0
2007,1981-10-01,2020-09-30,39,3.715,0.713,1.524,2.044,0.579,169.179,0.76,10.96,3.385,1.784,17.513,10.841,0.0
2009,1981-10-01,2020-09-30,39,3.183,0.828,1.002,3.091,0.688,256.564,0.53,8.498,0.077,1.5,31.384,10.929,0.0
2011,1981-10-01,2020-09-30,39,3.198,0.866,0.866,3.68,0.674,263.744,0.42,8.96,0.231,1.8,51.999,12.366,0.0
2014,1981-10-01,2020-09-30,39,3.591,0.75,1.276,1.853,0.665,229.333,1.0,9.06,0.615,1.412,5.0,8.478,0.0
2016,1981-10-01,2020-09-30,39,2.359,0.637,1.26,1.34,0.728,197.718,0.93,5.05,0.154,1.0,0.641,5.0,0.0
2017,1981-10-01,2020-09-30,39,2.009,0.553,1.27,1.754,0.599,173.436,0.37,5.47,1.308,1.457,21.897,9.385,0.0
2018,1981-10-01,2020-09-30,39,3.185,0.724,1.265,1.853,0.695,231.872,0.89,7.36,0.205,1.6,4.82,8.952,0.0
2019,1981-10-01,2020-09-30,39,5.559,0.924,0.752,3.463,0.692,264.744,0.8,15.13,0.077,1.5,45.384,12.123,0.0
2020,1981-10-01,2020-09-30,39,4.121,0.795,1.165,2.672,0.574,236.615,0.74,12.29,6.641,2.14,27.461,12.17,0.0
2021,1981-10-01,2020-09-30,39,3.169,0.69,1.372,1.806,0.555,188.41,0.73,9.198,6.872,2.144,9.41,9.41,0.0
2022,1981-10-01,2020-09-30,39,3.743,0.755,1.173,2.296,0.582,217.846,0.79,10.67,5.795,2.036,14.872,10.741,0.0
2023,1981-10-01,2020-09-30,39,4.906,0.908,0.747,3.06,0.71,259.077,0.88,12.59,0.077,1.5,26.589,10.475,0.0
2024,1981-10-01,2020-09-30,39,3.159,0.854,0.975,3.528,0.677,261.256,0.44,8.758,0.128,1.25,46.538,12.604,0.0
2025,1981-10-01,2020-09-30,39,4.693,0.85,0.997,2.942,0.675,253.026,0.74,13.28,0.282,1.571,34.461,11.39,0.0
2026,1981-10-01,2020-09-30,39,2.911,0.742,1.074,2.065,0.709,238.154,0.78,6.66,0.051,1.0,4.513,6.769,0.0
2027,1981-10-01,2020-09-30,39,2.911,0.742,1.074,2.065,0.709,238.154,0.78,6.66,0.051,1.0,4.513,6.769,0.0
2028,1981-10-01,2020-09-30,39,2.911,0.742,1.074,2.065,0.709,238.154,0.78,6.66,0.051,1.0,4.513,6.769,0.0
2029,1981-10-01,2020-09-30,39,2.619,0.675,1.253,1.457,0.721,208.282,0.96,5.66,0.103,1.0,0.82,6.4,0.0
2030,1981-10-01,2020-09-30,39,3.972,0.835,0.947,2.433,0.724,245.795,0.96,9.388,0.103,1.333,7.538,7.737,0.0
2031,1981-10-01,2020-09-30,39,2.447,0.607,1.691,1.95,0.559,178.308,0.43,6.9,2.256,1.571,23.384,9.913,0.0
