# Supplementary geological attributes as rock type percentages based on the map of main lithologies across Switzerland (Swiss Geological Map by Swisstopo) and the map of molasse layers on the Swiss plateau (GeoMol by Swisstopo)
gauge_id,osm,omm,usm,api,amk,sus,dup,sal,oos,mpk,aap,fju,hes,mps,ups,ops,tie,ukd,uod,ood,qua
2004,0.0,38.65,41.56,6.1,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,11.88
2007,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26
2009,0.0,0.0,0.0,30.66,7.63,3.0,6.0,0.0,7.4,25.71,0.0,0.0,6.3,4.77,4.72,0.12,0.0,0.0,0.0,0.0,3.69
2011,0.0,0.0,0.0,27.29,11.85,0.51,7.7,0.0,9.71,30.51,0.0,0.0,4.66,2.51,2.78,0.0,0.0,0.0,0.0,0.0,2.47
2014,4.63,2.82,11.56,14.81,0.0,9.42,0.0,0.0,0.0,0.0,0.0,0.0,44.26,0.0,0.25,1.76,0.0,0.0,0.0,0.0,10.49
2016,6.79,20.09,19.18,7.41,0.0,2.22,0.0,0.0,1.49,0.0,0.03,15.0,6.95,6.02,3.57,2.21,0.0,0.0,0.0,0.0,9.04
2017,22.41,6.38,52.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.03
2018,14.87,4.11,11.51,20.59,4.35,4.08,0.0,0.0,0.0,0.0,0.0,0.0,26.32,1.41,0.0,4.58,0.0,0.0,0.0,0.0,8.18
2019,0.0,0.0,0.0,82.22,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,15.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07
2020,0.0,0.0,0.0,0.0,54.57,3.6,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.25,3.15,0.0,0.22,28.91,0.0,0.0,4.83
