# Supplementary soil attributes based on ISRIC-World Soil Information product SoilGrid (global coverage)
gauge_id,sg_sand_perc,sg_sand_perc_5,sg_sand_perc_25,sg_sand_perc_50,sg_sand_perc_75,sg_sand_perc_90,sg_sand_perc_skewness,sg_sand_perc_missing,sg_silt_perc,sg_silt_perc_5,sg_silt_perc_25,sg_silt_perc_50,sg_silt_perc_75,sg_silt_perc_90,sg_silt_perc_skewness,sg_silt_perc_missing,sg_clay_perc,sg_clay_perc_5,sg_clay_perc_25,sg_clay_perc_50,sg_clay_perc_75,sg_clay_perc_90,sg_clay_perc_skewness,sg_clay_perc_missing,sg_organic_perc,sg_organic_perc_5,sg_organic_perc_25,sg_organic_perc_50,sg_organic_perc_75,sg_organic_perc_90,sg_organic_perc_skewness,sg_organic_perc_missing,sg_bulk_dens,sg_bulk_dens_5,sg_bulk_dens_25,sg_bulk_dens_50,sg_bulk_dens_75,sg_bulk_dens_90,sg_bulk_dens_skewness,sg_bulk_dens_missing,sg_tot_avail_water,sg_tot_avail_water_5,sg_tot_avail_water_25,sg_tot_avail_water_50,sg_tot_avail_water_75,sg_tot_avail_water_90,sg_tot_avail_water_skewness,sg_tot_avail_water_missing,sg_root_depth,sg_root_depth_5,sg_root_depth_25,sg_root_depth_50,sg_root_depth_75,sg_root_depth_90,sg_root_depth_skewness,sg_root_depth_missing,sg_soil_depth,sg_soil_depth_5,sg_soil_depth_25,sg_soil_depth_50,sg_soil_depth_75,sg_soil_depth_90,sg_soil_depth_skewness,sg_soil_depth_missing
2004,37.929,32.383,35.825,37.933,39.918,43.392,-0.001,3.25,38.488,34.474,36.904,38.26,39.768,43.707,0.085,3.25,23.582,20.544,22.387,23.561,24.841,26.665,0.011,3.25,1.922,0.878,1.298,1.821,2.403,3.346,0.127,3.25,1.481,1.411,1.469,1.49,1.504,1.52,-0.254,3.25,128.948,121.535,125.584,128.746,131.891,136.999,0.04,3.25,19.879,19.172,19.909,19.939,19.97,19.994,-0.157,3.25,205.314,153.548,179.354,199.286,225.182,280.535,0.159,3.25
2007,43.899,39.791,42.158,43.937,45.599,47.926,-0.015,4.56,34.267,31.281,33.071,34.211,35.455,37.342,0.031,4.56,21.831,17.951,20.508,21.965,23.315,25.224,-0.062,4.56,3.12,2.04,2.522,2.934,3.452,5.225,0.194,4.56,1.344,1.285,1.32,1.346,1.37,1.399,-0.04,4.56,140.896,130.958,135.998,140.798,144.962,152.63,0.015,4.56,18.384,16.335,17.601,18.463,19.263,19.948,-0.069,4.56,109.321,77.44,93.774,106.904,122.394,148.831,0.111,4.56
2009,54.224,44.273,50.444,54.701,58.293,62.733,-0.085,17.29,32.378,28.0,30.657,32.376,34.111,36.705,0.001,17.29,13.392,7.457,10.118,12.575,16.197,21.585,0.186,17.29,3.689,1.387,2.702,3.467,4.325,6.79,0.131,17.29,1.338,1.19,1.289,1.348,1.397,1.457,-0.119,17.29,159.872,135.963,149.275,159.151,169.685,186.812,0.047,17.29,12.373,6.428,8.844,11.429,16.117,19.931,0.218,17.29,121.632,11.442,53.244,114.601,182.103,258.734,0.089,17.29
2011,55.157,44.5,51.819,55.835,59.091,63.21,-0.122,21.78,32.138,27.735,30.365,32.077,33.855,36.705,0.022,21.78,12.697,7.172,9.593,11.787,15.008,21.317,0.21,21.78,3.841,1.703,2.838,3.597,4.447,7.009,0.146,21.78,1.334,1.181,1.285,1.346,1.394,1.447,-0.147,21.78,161.124,137.035,150.935,160.489,170.362,187.83,0.041,21.78,11.63,6.364,8.648,10.795,14.049,19.913,0.209,21.78,116.738,12.771,51.893,104.833,174.964,254.355,0.154,21.78
2014,45.745,35.026,41.256,45.937,50.087,55.97,-0.03,6.26,35.614,31.278,33.888,35.606,37.402,39.916,0.003,6.26,18.642,10.999,15.02,18.362,22.35,26.898,0.057,6.26,3.552,1.477,2.505,3.429,4.394,5.923,0.081,6.26,1.3,1.125,1.226,1.31,1.374,1.457,-0.099,6.26,157.805,130.533,141.213,154.005,172.654,193.351,0.187,6.26,15.006,7.184,11.305,15.969,18.808,19.969,-0.223,6.26,137.373,1.575,74.872,143.603,199.548,257.56,-0.077,6.26
2016,42.273,33.816,37.753,40.981,45.747,54.756,0.2,6.29,35.846,31.156,34.01,35.893,37.671,40.445,-0.016,6.29,21.874,12.352,19.599,22.666,24.968,28.616,-0.164,6.29,2.535,1.023,1.585,2.313,3.125,4.837,0.164,6.29,1.417,1.261,1.353,1.438,1.492,1.519,-0.241,6.29,137.406,121.028,127.092,132.792,144.789,169.264,0.301,6.29,18.122,8.928,17.709,19.909,19.954,19.991,-0.515,6.29,167.69,59.735,131.646,169.731,206.31,264.65,-0.034,6.29
2017,40.32,34.075,37.572,40.243,42.927,46.856,0.02,18.73,36.637,33.377,35.337,36.636,37.928,39.835,0.001,18.73,23.033,18.373,21.051,22.922,25.254,27.49,0.039,18.73,2.78,1.262,1.889,2.555,3.345,4.95,0.167,18.73,1.384,1.206,1.335,1.397,1.457,1.513,-0.138,18.73,140.449,121.666,130.518,139.003,148.472,167.148,0.108,18.73,19.012,15.622,18.519,19.798,19.947,19.989,-0.528,18.73,187.982,102.699,159.449,192.914,219.917,257.767,-0.107,18.73
2018,46.062,35.914,40.319,44.667,50.898,60.384,0.184,8.78,35.1,29.798,33.455,35.388,37.053,39.298,-0.1,8.78,18.831,8.384,14.871,19.952,23.151,26.594,-0.198,8.78,3.379,1.274,2.15,3.114,4.199,6.312,0.15,8.78,1.34,1.147,1.264,1.343,1.432,1.506,-0.028,8.78,151.701,123.119,132.619,148.595,167.834,191.504,0.141,8.78,15.198,5.537,11.156,16.853,19.911,19.982,-0.322,8.78,141.089,12.522,85.913,148.426,198.744,248.993,-0.1,8.78
2019,54.743,43.307,50.12,55.149,59.77,64.65,-0.061,26.44,32.908,27.728,30.714,32.842,35.123,38.084,0.02,26.44,12.341,6.012,9.046,11.56,15.066,20.99,0.168,26.44,4.365,1.954,3.179,4.117,5.109,7.656,0.129,26.44,1.279,1.141,1.228,1.284,1.331,1.413,-0.067,26.44,168.975,139.02,157.735,169.92,180.423,195.612,-0.055,26.44,10.075,4.099,6.404,8.615,14.362,18.905,0.308,26.44,91.565,3.768,32.789,78.032,144.096,214.427,0.199,26.44
2020,54.392,48.234,51.892,54.503,56.936,60.292,-0.03,0.62,33.256,29.547,31.708,33.177,34.683,37.148,0.033,0.62,12.342,7.91,10.417,12.228,14.18,17.028,0.04,0.62,4.013,1.805,3.11,3.839,4.63,6.55,0.105,0.62,1.291,1.143,1.239,1.292,1.351,1.426,-0.011,0.62,169.88,148.58,158.812,169.304,179.604,196.196,0.039,0.62,12.192,6.621,8.788,11.355,15.561,19.296,0.206,0.62,117.74,0.096,43.244,110.382,179.904,265.197,0.088,0.62
