basin_id,NSE_training,aux_ET,ki,NSE_testing
2001,0.55,1.3896351,6.0968494,0.53
4001,0.73,0.1898529,11.5057535,0.71
6007,0.76,0.68870944,10.729053,0.78
7001,0.34,0.48417,4.918651,0.37
7002,0.4,0.7618727,6.5789714,0.36
8004,0.31,0.63012403,11.901812,0.2
8005,0.31,1.4998996,42.069157,0.18
8006,0.36,0.9415845,35.149097,0.22
9002,0.48,1.3254094,12.059665,0.36
10003,0.59,0.76073194,48.710667,0.5
11001,0.51,0.86928916,27.989098,0.43
11003,0.39,0.7896269,34.85848,0.28
12001,0.44,0.55913574,11.89508,0.32
12002,0.5,0.71426547,10.625034,0.37
13007,0.57,1.1433275,7.5449815,0.51
13008,0.58,1.0718224,10.267772,0.57
15006,0.76,0.64456767,12.312743,0.76
15007,0.79,0.9217704,11.193337,0.81
15012,0.74,0.48785448,12.654699,0.72
15016,0.82,0.010544358,9.248705,0.83
15025,0.55,0.8790896,7.3106565,0.54
16001,0.79,1.0002662,8.073207,0.74
16004,0.78,0.99267834,7.4748893,0.75
18003,0.78,1.4997733,5.4541793,0.82
21006,0.71,1.3227481,6.8263636,0.7
21009,0.64,1.302316,9.5496435,0.62
21022,0.48,1.4992415,10.376364,0.44
23004,0.63,1.4997222,3.2087991,0.68
25001,0.55,1.4996828,4.802149,0.63
27001,0.6,1.4998835,9.610852,0.52
27003,0.66,1.31171,8.933752,0.71
27007,0.65,1.2800934,5.2456613,0.65
27021,0.49,1.4991944,12.498152,0.54
27034,0.73,1.4158111,3.3020175,0.74
27041,0.56,1.0751305,86.52611,0.54
27071,0.57,1.2814714,12.674622,0.6
27080,0.7,1.0399588,7.334573,0.73
28015,0.37,0.94483024,377.0675,-0.06
28018,0.52,1.4739121,13.862155,0.52
28024,0.42,1.4999884,20.688074,0.45
28067,0.52,1.4978052,23.99804,0.5
28080,0.29,0.27292556,20.935112,0.27
28085,0.55,1.4999429,29.01385,0.51
33022,0.39,0.85609204,215.92451,0.28
33034,0.62,0.8573044,263.6675,0.61
33039,0.5,1.4689041,49.56148,0.46
36006,0.35,1.167832,118.14461,0.33
38001,0.35,1.4634658,215.75458,0.18
39002,0.69,1.3388374,62.662914,0.59
39008,0.7,1.4153293,64.58848,0.6
39010,0.62,0.8801549,499.9704,0.59
39016,0.71,0.899167,191.27771,0.71
39021,0.59,1.1906728,103.06144,0.48
39034,0.67,1.1211727,69.65227,0.6
40003,0.39,1.4997073,19.673445,0.03
42004,0.73,0.84376097,284.48062,0.64
43007,0.64,1.4992523,43.243294,0.56
43008,0.66,1.2981807,151.15096,0.72
43009,0.55,1.4999353,9.153942,0.55
44001,0.69,0.9565748,125.48119,0.72
