basin_id,NSE_training,aux_ET,ki,NSE_testing
2001,0.54,1.3952594,7.14764,0.51
4001,0.73,0.14051968,12.220347,0.7
6007,0.76,0.6901827,10.555826,0.78
7001,0.34,0.5149727,5.157424,0.36
7002,0.4,0.7725611,7.0408025,0.36
8004,0.31,0.7241649,11.679567,0.2
8005,0.31,1.4946561,46.36767,0.18
8006,0.35,0.9112501,34.429573,0.22
9002,0.48,1.3549386,12.609008,0.36
10003,0.59,0.7584638,49.32942,0.49
11001,0.51,0.8723476,28.011377,0.43
11003,0.39,0.79487526,33.783264,0.28
12001,0.44,0.56163436,11.708304,0.32
12002,0.5,0.65414494,11.780051,0.37
13007,0.57,1.160483,7.5985065,0.51
13008,0.58,0.973564,10.145372,0.58
15006,0.76,0.63717407,12.864106,0.76
15007,0.79,0.91742057,11.083885,0.81
15012,0.74,0.49725372,12.666231,0.72
15016,0.8,0.18235396,7.218375,0.82
15025,0.55,0.96515167,8.359592,0.54
16001,0.79,1.0219511,7.9785485,0.74
16004,0.78,1.0097847,7.481538,0.75
18003,0.78,1.4376372,5.47963,0.83
21006,0.71,1.3368927,6.857216,0.7
21009,0.64,1.3132285,9.553076,0.62
21022,0.47,1.3783975,12.547238,0.42
23004,0.63,1.4365897,3.2421093,0.68
25001,0.55,1.4968452,4.899493,0.62
27001,0.59,1.4824082,8.593129,0.53
27003,0.66,1.1298747,9.285867,0.71
27007,0.65,1.2688798,5.40366,0.65
27021,0.49,1.4978056,12.496999,0.54
27034,0.73,1.3244628,3.269071,0.74
27041,0.56,1.0740744,89.387115,0.54
27071,0.56,1.3156277,13.734506,0.58
27080,0.7,1.0523508,7.222523,0.73
28015,0.37,0.9407639,380.73898,-0.08
28018,0.52,1.416641,14.863509,0.52
28024,0.41,1.4783505,18.763124,0.45
28067,0.52,1.4862942,23.386389,0.5
28080,0.29,0.25908932,22.896448,0.26
28085,0.55,1.4975227,29.753782,0.51
33022,0.39,0.85366434,215.803,0.28
33034,0.62,0.86543906,259.67258,0.62
33039,0.5,1.4803951,55.1362,0.45
36006,0.35,1.1810006,116.3948,0.33
38001,0.35,1.4487113,217.89989,0.18
39002,0.69,1.3520485,63.207718,0.58
39008,0.7,1.396236,64.88693,0.6
39010,0.62,0.8803959,498.07648,0.59
39016,0.71,0.90289694,189.3912,0.71
39021,0.59,1.1932371,103.01952,0.48
39034,0.67,1.1183248,69.35718,0.6
40003,0.39,1.4878732,18.006184,0.01
42004,0.73,0.84107476,287.29227,0.63
43007,0.64,1.4730926,42.426456,0.56
43008,0.66,1.2926326,153.48,0.72
43009,0.55,1.4972154,9.011806,0.55
44001,0.69,0.9552812,122.19952,0.72
