basin_id,NSE_training,aux_ET,ki,NSE_testing
2001,0.548,1.382,6.194,0.526
4001,0.723,0.24,14.135,0.69
6007,0.749,0.676,13.429,0.752
7001,0.335,0.425,6.311,0.344
7002,0.4,0.71,7.997,0.348
8004,0.256,0.564,30.127,0.148
8005,0.298,1.435,72.554,0.158
8006,0.335,0.968,67.659,0.196
9002,0.451,1.153,18.462,0.329
10003,0.544,0.804,86.218,0.429
11001,0.447,0.789,70.389,0.359
11003,0.364,0.777,68.642,0.257
12001,0.439,0.57,13.254,0.32
12002,0.498,0.71,12.371,0.371
13007,0.566,1.177,8.869,0.496
13008,0.582,1.106,11.002,0.567
15006,0.763,0.606,13.392,0.75
15007,0.785,0.839,11.871,0.806
15012,0.74,0.417,13.873,0.708
15016,0.818,0.042,9.584,0.832
15025,0.554,0.891,7.662,0.543
16001,0.793,0.954,8.411,0.741
16004,0.78,0.949,7.908,0.743
18003,0.775,1.471,6.01,0.819
21006,0.704,1.191,7.541,0.696
21009,0.642,1.179,10.576,0.617
21022,0.37,1.054,36.407,0.291
23004,0.629,1.459,3.635,0.669
25001,0.543,1.476,5.745,0.608
27001,0.586,1.478,12.54,0.472
27003,0.66,1.28,10.395,0.688
27007,0.645,1.186,5.976,0.646
27021,0.455,1.4,20.721,0.448
27034,0.73,1.368,3.593,0.731
27041,0.547,0.992,111.062,0.518
27071,0.564,1.246,13.964,0.588
27080,0.699,1.005,8.236,0.716
28015,0.319,0.879,409.926,-0.416
28018,0.502,1.346,22.457,0.492
28024,0.342,1.324,73.856,0.325
28067,0.471,1.294,59.934,0.362
28080,0.262,0.23,53.557,0.183
28085,0.517,1.455,57.972,0.381
33022,0.346,0.745,329.116,0.211
33034,0.557,0.824,414.138,0.504
33039,0.382,1.18,154.182,0.302
36006,0.278,0.739,211.155,0.163
38001,0.27,1.14,445.053,0.133
39002,0.657,1.173,96.449,0.541
39008,0.663,1.245,106.642,0.537
39010,0.356,0.792,488.014,0.024
39016,0.631,0.815,291.816,0.608
39021,0.556,1.15,145.244,0.419
39034,0.646,1.051,101.216,0.585
40003,0.332,1.459,71.122,0.21
42004,0.689,0.782,332.038,0.42
43007,0.607,1.362,70.954,0.511
43008,0.43,0.97,414.333,0.37
43009,0.528,1.492,12.926,0.517
44001,0.652,0.87,165.826,0.64
