basin_id,NSE_LSTM
2001,0.73
4001,0.82
6007,0.89
7001,0.71
7002,0.73
8004,0.64
8005,0.84
8006,0.75
9002,0.71
10003,0.85
11001,0.82
11003,0.69
12001,0.72
12002,0.76
13007,0.75
13008,0.82
15006,0.91
15007,0.89
15012,0.85
15016,0.93
15025,0.82
16001,0.88
16004,0.91
18003,0.9
21006,0.88
21009,0.88
21022,0.8
23004,0.85
25001,0.84
27001,0.84
27003,0.94
27007,0.84
27021,0.88
27034,0.86
27041,0.86
27071,0.8
27080,0.92
28015,0.7
28018,0.88
28024,0.84
28067,0.88
28080,0.84
28085,0.91
33022,0.84
33034,0.81
33039,0.75
36006,0.77
38001,0.86
39002,0.83
39008,0.84
39010,0.6
39016,0.81
39021,0.77
39034,0.88
40003,0.76
42004,0.76
43007,0.86
43008,0.85
43009,0.9
44001,0.92
