basin_id,NSE_LSTM_Bucket
2001,0.76
4001,0.83
6007,0.92
7001,0.73
7002,0.76
8004,0.69
8005,0.74
8006,0.77
9002,0.77
10003,0.85
11001,0.84
11003,0.7
12001,0.78
12002,0.81
13007,0.76
13008,0.86
15006,0.93
15007,0.91
15012,0.87
15016,0.9
15025,0.82
16001,0.87
16004,0.9
18003,0.92
21006,0.89
21009,0.89
21022,0.82
23004,0.83
25001,0.84
27001,0.8
27003,0.92
27007,0.81
27021,0.86
27034,0.86
27041,0.81
27071,0.79
27080,0.91
28015,0.17
28018,0.84
28024,0.86
28067,0.85
28080,0.78
28085,0.86
33022,0.71
33034,0.69
33039,0.84
36006,0.82
38001,0.64
39002,0.87
39008,0.85
39010,0.57
39016,0.81
39021,0.81
39034,0.84
40003,0.71
42004,0.71
43007,0.85
43008,0.48
43009,0.89
44001,0.88
