basin_id,NSE
2001,0.751
4001,0.842
6007,0.873
7001,0.81
7002,0.83
8004,0.766
8005,0.873
8006,0.854
9002,0.918
10003,0.9
11001,0.931
11003,0.873
12001,0.806
12002,0.855
13007,0.871
13008,0.894
15006,0.939
15007,0.92
15012,0.873
15016,0.937
15025,0.834
16001,0.9
16004,0.923
18003,0.917
21006,0.883
21009,0.889
21022,0.802
23004,0.883
25001,0.862
27001,0.877
27003,0.941
27007,0.892
27021,0.924
27034,0.874
27041,0.917
27071,0.865
27080,0.913
28015,0.399
28018,0.892
28024,0.876
28067,0.934
28080,0.844
28085,0.949
33022,0.846
33034,0.883
33039,0.872
36006,0.863
38001,0.883
39002,0.908
39008,0.865
39010,0.856
39016,0.93
39021,0.881
39034,0.926
40003,0.875
42004,0.923
43007,0.915
43008,0.925
43009,0.899
44001,0.939
