basin_id,NSE
1001,0.821
2001,0.751
2002,0.782
3003,0.871
4001,0.842
4003,0.835
4005,0.878
5003,0.765
6007,0.873
6008,0.86
7001,0.81
7003,0.892
7005,0.855
7006,0.772
8005,0.873
8006,0.854
8013,0.709
9003,0.861
9004,0.884
9005,0.771
10003,0.9
11001,0.931
11003,0.873
11004,0.84
12002,0.855
12006,0.753
12008,0.868
13001,0.884
13004,0.803
13005,0.901
13007,0.871
14001,0.915
14002,0.894
14005,0.859
15006,0.939
15007,0.92
15010,0.879
15011,0.75
15012,0.873
15013,0.83
15014,0.798
15021,0.874
15024,0.897
15039,0.722
16001,0.9
16004,0.923
17001,0.771
17003,0.838
17004,0.882
17005,0.891
17015,0.839
17018,0.686
18001,0.84
18003,0.917
18008,0.922
18010,0.903
18014,0.853
19001,0.895
19017,0.879
19020,0.806
20003,0.864
20007,0.845
21006,0.883
21008,0.796
21009,0.889
21011,0.848
21012,0.793
21013,0.811
21015,0.811
21016,0.678
21017,0.803
21018,0.881
21022,0.802
21023,0.513
21024,0.757
21026,0.742
21027,0.711
22001,0.907
22006,0.922
22007,0.895
22009,0.886
23001,0.899
23008,0.855
23011,0.85
23016,0.896
24001,0.906
24003,0.854
24005,0.887
25001,0.862
25003,0.719
25006,0.859
25012,0.835
25020,0.733
25021,0.775
26008,0.763
26009,0.911
27001,0.877
27002,0.877
27003,0.941
27006,0.9
27007,0.892
27009,0.923
27025,0.819
27029,0.913
27030,0.857
27032,0.831
27034,0.874
27035,0.899
27041,0.917
27042,0.871
27047,0.89
27051,0.881
27062,0.916
27064,0.844
27065,0.891
27071,0.865
27077,0.679
27079,0.914
27080,0.913
27084,0.871
27087,0.68
27089,0.9
27090,0.869
28001,0.65
28003,0.857
28008,0.893
28009,0.96
28012,0.693
28015,0.399
28018,0.892
28022,0.945
28023,0.943
28024,0.876
28026,0.889
28031,0.88
28039,0.88
28040,0.812
28043,0.84
28044,0.786
28046,0.915
28048,0.848
28050,0.456
28052,0.808
28055,0.886
28056,0.866
28066,0.798
28067,0.934
28072,0.84
28074,0.933
28080,0.844
28081,0.846
28082,0.9
28085,0.949
28091,0.817
28115,0.868
28116,0.526
28117,0.935
29003,0.841
29005,0.684
30001,0.853
30004,0.834
30005,0.692
30011,0.9
30015,0.866
31002,0.89
31006,0.855
31010,0.891
31021,0.864
32003,0.829
32004,0.863
32006,0.694
32008,0.852
33006,0.878
33007,0.875
33014,0.868
33021,0.845
33022,0.846
33024,0.815
33026,0.865
33028,0.751
33031,0.693
33032,0.797
33034,0.883
33039,0.872
33054,0.77
34002,0.869
34003,0.848
34004,0.467
34005,0.598
34007,0.843
34008,0.38
34010,0.811
