basin_id,NSE_LSTM
01022500,0.88
01031500,0.881
01047000,0.859
01052500,0.803
01054200,0.666
01055000,0.67
01057000,0.863
01073000,0.876
01078000,0.833
01123000,0.793
01134500,0.758
01137500,0.741
01139000,0.785
01139800,0.709
01142500,0.781
01144000,0.84
01162500,0.832
01169000,0.788
01170100,0.763
01181000,0.774
01187300,0.742
01195100,0.699
04296000,0.83
01333000,0.792
01350000,0.647
01350080,0.653
01350140,0.62
01365000,0.723
01411300,0.672
01413500,0.734
01414500,0.658
01415000,0.739
01423000,0.794
01434025,0.638
01435000,0.695
01439500,0.821
01440000,0.789
01440400,0.745
01451800,0.764
01466500,0.528
01484100,0.616
01487000,0.778
01491000,0.789
01510000,0.762
01516500,0.518
01518862,0.629
01532000,0.542
01539000,0.829
01542810,0.752
01543000,0.788
01543500,0.837
01544500,0.737
01545600,0.785
01547700,0.719
01548500,0.791
01549500,0.682
01550000,0.674
01552000,0.796
01552500,0.676
01557500,0.703
01567500,0.634
01568000,0.738
01580000,0.742
01583500,0.732
01586610,0.689
01591400,0.71
01594950,0.7
01596500,0.681
01605500,0.752
01606500,0.731
01632000,0.508
01632900,0.602
01634500,0.515
01638480,0.681
01639500,0.776
01644000,0.82
01664000,0.775
01666500,0.583
01667500,0.745
01669000,0.693
01669520,0.779
02011400,0.812
02013000,0.789
02014000,0.789
02015700,0.72
02016000,0.848
02017500,0.762
02018000,0.825
02027000,0.629
02027500,0.517
02028500,0.643
02038850,0.546
02046000,0.621
02051500,0.8
02053200,0.791
02053800,0.682
02055100,0.6
02056900,0.766
02059500,0.675
02064000,0.536
02065500,0.552
02069700,0.706
02070000,0.752
02074500,0.696
02077200,0.49
02081500,0.78
02082950,0.68
02092500,0.786
02096846,0.672
02102908,0.484
02108000,0.81
02111180,0.633
02111500,0.696
02112120,0.709
02112360,0.617
02118500,0.759
02125000,0.639
02128000,0.586
02137727,0.811
02140991,0.808
02143000,0.701
02143040,0.762
02149000,0.801
02152100,0.729
02177000,0.893
02178400,0.83
02193340,0.62
02196000,0.652
02198100,0.516
02202600,0.749
02212600,0.739
02215100,0.756
02216180,0.715
02221525,0.847
02231000,0.828
02245500,0.531
02246000,0.701
02296500,0.719
02297155,0.513
02297310,0.624
02298123,0.695
02298608,0.756
02299950,0.521
02300700,0.44
02342933,0.789
02349900,0.715
02350900,0.785
02361000,0.629
02363000,0.777
02369800,0.685
02371500,0.847
02372250,0.667
02374500,0.583
02381600,0.639
02384540,0.689
02395120,0.716
02415000,0.832
02427250,0.724
02430085,0.66
02450250,0.822
02464000,0.832
02464360,0.758
02465493,0.843
02469800,0.827
02472000,0.79
02472500,0.867
02479155,0.701
02479300,0.768
02479560,0.823
02481000,0.761
02481510,0.776
04015330,0.738
04024430,0.668
04027000,0.852
04040500,0.774
04043050,0.819
04045500,0.877
04057510,0.763
04057800,0.738
04059500,0.842
04063700,0.745
04074950,0.774
04105700,0.621
04115265,0.603
04122200,0.688
04122500,0.696
04127918,0.727
04127997,0.565
04161580,0.651
04185000,0.815
04196800,0.764
04197100,0.698
04197170,0.737
04213000,0.734
04213075,0.477
04216418,0.73
04221000,0.719
04224775,0.696
04233000,0.63
04256000,0.827
03010655,0.765
03011800,0.759
03015500,0.795
03021350,0.664
03026500,0.623
03028000,0.715
03049000,0.715
03049800,0.412
03050000,0.814
03069500,0.865
03070500,0.834
03076600,0.735
03078000,0.7
03140000,0.703
03144000,0.756
03170000,0.779
03173000,0.807
03180500,0.829
03182500,0.885
03186500,0.811
03237280,0.476
03237500,0.797
03238500,0.803
03241500,0.805
03280700,0.638
03281500,0.866
03285000,0.735
03291780,0.697
03338780,0.868
03340800,0.782
03346000,0.845
03364500,0.783
03366500,0.837
03368000,0.594
03384450,0.662
03439000,0.768
03455500,0.638
03456500,0.744
03460000,0.816
03463300,0.811
03471500,0.772
03473000,0.818
03479000,0.684
03488000,0.815
03498500,0.851
03500000,0.882
03500240,0.841
03504000,0.787
03574500,0.772
03592718,0.645
03604000,0.758
05291000,0.548
05362000,0.844
05393500,0.798
05399500,0.652
05408000,0.691
05413500,0.502
05414000,0.384
05444000,0.536
05454000,0.467
05458000,0.685
05466500,0.661
05487980,0.78
05488200,0.706
05489000,0.777
05495000,0.757
05495500,0.619
05501000,0.614
05503800,0.66
05507600,0.716
05508805,0.79
05525500,0.786
05556500,0.734
05584500,0.775
05591550,0.637
05592050,0.748
05592575,0.682
05593575,0.824
05593900,0.69
05595730,0.808
07291000,0.637
07359610,0.612
07362100,0.824
07362587,0.533
07375000,0.613
08013000,0.725
08014500,0.761
05057200,0.439
05120500,0.515
06221400,0.872
06224000,0.86
06278300,0.783
06280300,0.884
06289000,0.856
06291500,0.794
06311000,0.777
06332515,0.45
06339100,0.422
06344600,0.316
06350000,0.441
06352000,0.468
06404000,0.646
06406000,0.438
06409000,0.098
06431500,0.556
06440200,0.373
06447500,0.472
06470800,0.361
06477500,0.47
06479215,0.396
06601000,0.511
06614800,0.817
06622700,0.891
06623800,0.935
06632400,0.877
06746095,0.612
06803510,0.554
06803530,0.74
06814000,0.796
06847900,0.149
06853800,0.451
06876700,0.604
06878000,0.645
06879650,0.308
06885500,0.813
06888500,0.763
06889200,0.817
06889500,0.791
06892000,0.786
06903400,0.719
06906800,0.788
06910800,0.79
06911900,0.742
06917000,0.744
06918460,0.806
06919500,0.834
06921070,0.655
06921200,0.476
07057500,0.633
07060710,0.607
07066000,0.623
07083000,0.892
07142300,0.307
07145700,0.695
07167500,0.506
07180500,0.64
07184000,0.727
07195800,0.633
07196900,0.514
07197000,0.752
07208500,0.535
07261000,0.53
07263295,0.736
07299670,-0.245
07301410,0.065
07315200,0.577
07315700,0.544
07335700,0.52
07340300,0.644
07346045,0.738
08023080,0.786
08050800,0.344
08066200,0.633
08066300,0.595
08070000,0.556
08070200,0.713
08082700,0.076
08086212,0.51
08086290,0.567
08101000,0.645
08103900,0.576
08104900,0.621
08109700,0.589
08150800,0.403
08158700,0.399
08158810,0.187
08164300,0.778
08164600,0.679
08165300,-0.016
08171300,0.666
08175000,0.737
08176900,0.376
08178880,0.279
08189500,0.561
08190000,0.574
08190500,0.426
08194200,0.37
08195000,0.762
08196000,0.537
08198500,0.429
08200000,0.597
08202700,0.31
08267500,0.606
08269000,0.688
08271000,0.691
08324000,0.761
08377900,0.74
08378500,0.755
08380500,0.468
09035800,0.783
09035900,0.903
09047700,0.728
09065500,0.885
09066000,0.88
09066200,0.888
09066300,0.879
09081600,0.918
09107000,0.932
09210500,0.553
09223000,0.925
09306242,-0.129
09312600,0.832
09352900,0.844
09378170,0.638
09386900,0.209
09404450,0.787
09430600,0.591
09447800,0.174
09484600,0.334
09492400,0.715
09494000,0.702
09497980,0.733
09505350,0.685
09505800,0.582
09508300,0.531
09510200,0.749
09512280,0.618
09513780,0.372
10234500,0.863
10244950,0.623
10336645,0.869
10336660,0.79
10343500,0.751
12010000,0.886
12013500,0.906
12020000,0.83
12025700,0.771
12035000,0.927
12040500,0.861
12041200,0.732
12048000,0.478
12054000,0.562
12056500,0.655
12073500,0.847
12082500,0.818
12092000,0.542
12114500,0.854
12115000,0.82
12117000,0.821
12143600,0.851
12144000,0.888
12145500,0.89
12147500,0.794
12167000,0.808
12175500,0.846
12178100,0.798
12186000,0.854
12189500,0.858
12375900,0.77
12377150,0.78
12381400,0.648
12383500,0.592
12390700,0.644
12411000,0.659
12447390,0.743
12451000,0.864
12488500,0.825
13011500,0.884
13011900,0.917
13018300,0.898
13023000,0.916
13161500,0.812
13235000,0.933
13240000,0.882
13313000,0.917
13331500,0.874
14020000,0.729
14096850,0.802
14137000,0.812
14138800,0.834
14138870,0.841
14138900,0.864
14139800,0.844
14141500,0.852
14154500,0.903
14158790,0.836
14166500,0.905
14182500,0.839
14185000,0.903
14185900,0.893
14187000,0.908
14216500,0.777
14222500,0.898
14236200,0.872
14301000,0.933
14303200,0.876
14305500,0.891
14306340,0.857
14306500,0.921
14308990,0.858
14309500,0.839
14316700,0.877
14325000,0.822
14362250,0.879
14400000,0.89
10259000,0.691
11124500,0.542
11141280,0.683
11143000,0.822
11148900,0.749
11151300,0.817
11176400,0.714
11230500,0.786
11237500,0.734
11264500,0.846
11266500,0.848
11284400,0.735
11381500,0.829
11451100,0.752
11468500,0.864
11473900,0.829
11475560,0.787
11476600,0.807
11478500,0.817
11480390,0.811
11481200,0.831
11482500,0.84
11522500,0.864
11523200,0.826
11528700,0.831
11532500,0.915
