basin_id,NSE
2001,0.79
4001,0.812
6007,0.937
7001,0.777
7002,0.798
8004,0.754
8005,0.679
8006,0.807
9002,0.901
10003,0.903
11001,0.924
11003,0.871
12001,0.852
12002,0.883
13007,0.88
13008,0.897
15006,0.936
15007,0.938
15012,0.855
15016,0.868
15025,0.851
16001,0.897
16004,0.926
18003,0.929
21006,0.864
21009,0.877
21022,0.77
23004,0.878
25001,0.864
27001,0.86
27003,0.942
27007,0.904
27021,0.851
27034,0.89
27041,0.798
27071,0.889
27080,0.926
28015,-7.492
28018,0.866
28024,0.877
28067,0.88
28080,0.8
28085,0.881
33022,0.256
33034,0.115
33039,0.744
36006,0.706
38001,-0.119
39002,0.834
39008,0.818
39010,-2.364
39016,0.405
39021,0.697
39034,0.85
40003,0.718
42004,0.014
43007,0.9
43008,0.292
43009,0.814
44001,0.556
