basin_id,NSE_LSTM_NonSense
2001,0.71
4001,0.78
6007,0.89
7001,0.61
7002,0.67
8004,0.61
8005,0.63
8006,0.64
9002,0.64
10003,0.62
11001,0.61
11003,0.59
12001,0.72
12002,0.75
13007,0.73
13008,0.85
15006,0.91
15007,0.93
15012,0.84
15016,0.81
15025,0.81
16001,0.86
16004,0.89
18003,0.92
21006,0.87
21009,0.86
21022,0.71
23004,0.81
25001,0.82
27001,0.77
27003,0.9
27007,0.82
27021,0.77
27034,0.85
27041,0.27
27071,0.76
27080,0.91
28015,-4.28
28018,0.75
28024,0.56
28067,0.72
28080,0.66
28085,0.74
33022,0.15
33034,-1.1
33039,0.43
36006,-0.04
38001,-0.53
39002,0.52
39008,0.44
39010,-4.0
39016,-0.28
39021,0.3
39034,0.41
40003,0.18
42004,-1.37
43007,0.55
43008,-0.74
43009,0.78
44001,0.33
