basin_id,NSE
2001,0.801
4001,0.819
6007,0.937
7001,0.778
7002,0.817
8004,0.798
8005,0.717
8006,0.824
9002,0.912
10003,0.907
11001,0.949
11003,0.883
12001,0.864
12002,0.888
13007,0.879
13008,0.899
15006,0.936
15007,0.938
15012,0.858
15016,0.881
15025,0.842
16001,0.896
16004,0.93
18003,0.931
21006,0.873
21009,0.877
21022,0.785
23004,0.87
25001,0.854
27001,0.861
27003,0.948
27007,0.918
27021,0.929
27034,0.888
27041,0.901
27071,0.884
27080,0.931
28015,-1.78
28018,0.886
28024,0.893
28067,0.92
28080,0.821
28085,0.924
33022,0.753
33034,0.794
33039,0.911
36006,0.835
38001,0.698
39002,0.929
39008,0.911
39010,-0.179
39016,0.785
39021,0.829
39034,0.914
40003,0.851
42004,0.528
43007,0.927
43008,0.629
43009,0.892
44001,0.763
