basin_id,NSE_LSTM_SHM
2001,0.77
4001,0.79
6007,0.9
7001,0.73
7002,0.76
8004,0.72
8005,0.76
8006,0.77
9002,0.75
10003,0.83
11001,0.85
11003,0.76
12001,0.79
12002,0.82
13007,0.76
13008,0.85
15006,0.91
15007,0.93
15012,0.85
15016,0.85
15025,0.82
16001,0.87
16004,0.89
18003,0.91
21006,0.89
21009,0.89
21022,0.78
23004,0.82
25001,0.83
27001,0.82
27003,0.93
27007,0.79
27021,0.81
27034,0.86
27041,0.81
27071,0.78
27080,0.92
28015,-0.74
28018,0.88
28024,0.83
28067,0.87
28080,0.72
28085,0.89
33022,0.77
33034,0.49
33039,0.82
36006,0.77
38001,0.52
39002,0.88
39008,0.83
39010,-0.73
39016,0.6
39021,0.75
39034,0.84
40003,0.68
42004,0.39
43007,0.82
43008,0.11
43009,0.88
44001,0.81
