basin_id,NSE
2001,0.797
4001,0.85
6007,0.938
7001,0.793
7002,0.794
8004,0.8
8005,0.847
8006,0.852
9002,0.908
10003,0.919
11001,0.942
11003,0.898
12001,0.867
12002,0.888
13007,0.882
13008,0.894
15006,0.94
15007,0.936
15012,0.88
15016,0.926
15025,0.844
16001,0.907
16004,0.93
18003,0.933
21006,0.869
21009,0.877
21022,0.786
23004,0.871
25001,0.857
27001,0.869
27003,0.931
27007,0.907
27021,0.923
27034,0.892
27041,0.889
27071,0.892
27080,0.922
28015,-0.917
28018,0.903
28024,0.881
28067,0.915
28080,0.808
28085,0.94
33022,0.645
33034,0.694
33039,0.899
36006,0.735
38001,0.868
39002,0.936
39008,0.899
39010,0.358
39016,0.834
39021,0.824
39034,0.917
40003,0.898
42004,0.644
43007,0.917
43008,0.831
43009,0.925
44001,0.76
