basin_id,NSE_training,dd,su_max,beta,ki,kb,NSE_testing
2001,0.48,7.5083985,316.46088,1.8138177,1.0235653,11.214041,0.46
4001,0.72,3.1366253,169.59544,1.0458046,1.0222718,11.270996,0.69
6007,0.81,2.1637046,582.7351,1.1134127,1.0357778,11.253836,0.78
7001,0.33,1.1905599,168.50813,1.0150026,1.0205357,11.231186,0.27
7002,0.39,3.447213,281.34094,1.013192,1.0282238,11.236932,0.36
8004,0.42,5.618697,563.8554,1.0442224,1.0235965,11.201077,0.38
8005,0.49,0.77140677,698.9324,1.9268814,1.0323251,11.3340645,0.42
8006,0.58,2.1649547,696.06946,2.402292,1.058158,11.327467,0.53
9002,0.55,3.9206982,459.2819,2.8099658,1.0214487,11.20723,0.42
10003,0.75,6.7616673,411.6936,4.066322,1.032454,11.244098,0.67
11001,0.7,9.285862,500.53012,3.3992612,1.0253097,11.223076,0.6
11003,0.61,5.7932196,682.74786,3.3405094,1.0201741,11.208983,0.5
12001,0.52,8.759982,237.94241,1.0196934,1.027041,11.229891,0.45
12002,0.56,9.4605,258.04718,1.1396962,1.0239215,11.215239,0.48
13007,0.55,3.6119483,159.37555,1.1656212,1.0206754,11.202091,0.46
13008,0.64,3.3194888,241.27754,1.9028684,1.0216912,11.207605,0.59
15006,0.82,3.010104,240.69878,1.3920755,1.0454391,11.206958,0.79
15007,0.83,6.087786,648.0812,1.622542,1.0218995,11.20015,0.81
15012,0.79,0.7161436,191.90161,1.1803454,1.0208802,11.205379,0.74
15016,0.79,3.394078,91.04338,1.0119071,1.1413038,11.200113,0.8
15025,0.55,5.8635383,145.89072,1.0893358,1.0201726,11.206809,0.5
16001,0.78,5.0292234,175.74655,1.4485729,1.0205753,11.203403,0.69
16004,0.76,2.1533175,178.07697,1.6618375,1.020227,11.204359,0.69
18003,0.68,2.87146,424.17966,2.4400053,1.0303634,11.200155,0.69
21006,0.68,3.4738605,252.00377,3.263538,1.0266712,11.203142,0.63
21009,0.7,3.1541808,300.17227,3.404586,1.0217223,11.2044325,0.63
21022,0.56,3.8612347,356.3595,3.969988,1.0206763,11.200028,0.44
23004,0.43,6.4634953,189.60141,2.1752827,1.0203471,11.214617,0.37
25001,0.49,7.981343,382.81796,3.1040645,1.0230066,11.20937,0.45
27001,0.63,2.3355668,388.3663,4.195121,1.115459,11.230079,0.42
27003,0.72,1.4505811,276.93802,2.411329,1.0261856,11.20004,0.64
27007,0.57,2.090973,176.7695,1.6585556,1.0261883,11.201028,0.51
27021,0.65,2.5555732,412.09253,3.013403,1.0205697,11.224268,0.55
27034,0.52,6.319594,90.47371,1.0167866,1.0204017,11.211337,0.47
27041,0.84,4.080275,683.5365,5.9843235,1.3353028,11.20238,0.79
27071,0.67,2.176335,287.57492,3.1723852,1.030567,11.207161,0.61
27080,0.7,2.1736238,156.33727,1.2706043,1.0302159,11.20219,0.62
28015,-0.52,0.001921295,698.6032,5.997385,1.0849351,363.9043,-1.58
28018,0.65,7.13123,431.55914,4.7585907,1.0216986,11.209759,0.63
28024,0.6,7.2596946,290.47678,5.8748865,1.0259112,11.2165985,0.56
28067,0.74,3.8740048,698.4257,4.9844556,1.0329964,11.2203665,0.65
28080,0.4,8.102085,191.91345,1.0102156,1.0228664,11.2691145,0.41
28085,0.76,3.945922,698.80676,5.674233,1.023258,11.209285,0.71
33022,0.6,7.248829,698.9991,5.9352555,1.0232244,11.2395,0.53
33034,0.64,6.7580714,698.59424,5.9995723,1.1903515,25.275928,0.55
33039,0.77,8.196802,423.5006,5.9997993,1.2191167,11.209922,0.73
36006,0.57,9.408279,509.4458,5.986899,1.1655086,11.224126,0.57
38001,0.09,0.001902902,698.81104,5.9583397,1.026678,229.39607,-0.2
39002,0.9,9.2410755,510.36932,5.999145,1.616138,11.202802,0.87
39008,0.88,9.915379,584.1102,5.998367,1.5505911,13.322365,0.87
39010,-0.3,0.001907798,698.4013,4.6647596,1.2812811,767.0555,-2.03
39016,0.73,0.023573931,698.9877,4.5239644,1.020153,74.06067,0.64
39021,0.79,8.071634,655.09564,5.997251,1.4234258,11.25963,0.69
39034,0.9,9.504675,506.85623,5.9982677,1.3895851,11.360338,0.83
40003,0.58,8.639891,483.11844,5.983758,1.0276171,11.257293,0.36
42004,0.63,0.0085586,698.586,3.8663232,1.0278006,166.78027,0.03
43007,0.82,1.4056331,673.3612,5.9935527,1.1723299,11.207072,0.74
43008,0.61,0.018278882,698.6089,5.9951,1.0982764,56.946857,0.22
43009,0.56,7.421606,259.47568,4.4724746,1.0231061,11.238395,0.5
44001,0.75,0.003361345,698.55756,3.205318,1.0235887,43.7361,0.71
