basin_id,NSE_training,dd,su_max,beta,ki,kb,NSE_testing
2001,0.18,9.41004,143.26631,1.9385923,1.9057248,84.91043,0.17
4001,0.71,4.886452,217.27432,2.2608209,1.093598,11.522962,0.67
6007,0.79,6.2427096,381.1751,1.6169056,1.09505,12.129942,0.77
7001,0.26,5.518665,412.06204,5.024142,1.2419106,12.562849,0.25
7002,0.21,2.442052,92.53048,2.6108212,2.0690355,25.266909,0.17
8004,0.32,9.478693,198.09494,1.5826904,1.4612771,14.266317,0.26
8005,0.37,2.5563874,545.83923,2.9222062,1.0513426,18.925394,0.33
8006,0.38,3.122456,314.27893,3.4433534,1.8866502,18.738829,0.32
9002,0.36,3.1572917,417.63516,1.0406641,1.7358005,18.79015,0.27
10003,0.53,8.04938,393.82755,5.2813563,3.9495106,25.542961,0.45
11001,0.7,7.325312,466.97626,3.13031,1.0995061,11.559849,0.61
11003,0.61,6.1011596,570.20636,2.7748482,1.0254371,11.520927,0.49
12001,0.5,4.6945553,333.68903,1.582768,1.0968716,11.801208,0.47
12002,0.41,4.2178197,640.70197,3.343186,1.58382,16.542244,0.38
13007,0.3,7.6090083,201.28119,3.3764386,6.001845,11.996966,0.23
13008,0.62,4.111886,293.72604,3.7764533,1.1245241,11.524095,0.57
15006,0.7,6.254808,314.97684,4.063205,2.0243492,17.00561,0.66
15007,0.74,5.4119453,128.90535,5.141454,1.8556082,13.613904,0.73
15012,0.77,4.184925,286.26343,1.6348664,1.090068,12.568834,0.71
15016,0.78,6.8212295,225.2233,2.7501683,1.2050805,11.718941,0.78
15025,0.53,4.873682,343.9888,4.483371,1.0918663,11.541081,0.5
16001,0.77,5.0384574,379.98233,2.508054,1.0529155,11.545182,0.67
16004,0.53,9.133441,279.1337,5.441898,2.693282,22.206999,0.44
18003,0.68,3.14996,457.85428,3.3955102,1.0169767,11.509006,0.69
21006,0.67,7.268904,198.1685,3.0064032,1.0753247,11.682458,0.62
21009,0.64,1.7525373,196.92766,3.9801219,1.5459886,11.931104,0.58
21022,0.28,2.190534,282.81528,4.8658667,6.871199,12.286789,0.17
23004,0.24,3.8713782,152.84193,5.222157,1.4541813,29.919418,0.17
25001,0.2,8.135199,47.72934,4.672273,2.4558997,64.8204,0.14
27001,0.43,2.8614326,537.67865,5.4372168,3.7511623,15.395363,0.23
27003,0.69,6.1477766,270.2591,3.623167,1.2352734,11.682975,0.6
27007,0.57,3.2545016,147.0566,1.7332904,1.0152997,11.515401,0.5
27021,0.6,4.916973,359.177,4.951433,1.2075446,11.769652,0.49
27034,0.27,0.20228404,518.40924,4.0024858,3.971875,16.11487,0.2
27041,0.83,3.2145984,673.1577,5.736484,1.3094982,11.630907,0.79
27071,0.58,4.656143,649.34064,5.223111,1.2616199,14.100701,0.46
27080,0.67,5.606249,191.20178,3.046861,1.139349,11.6088915,0.58
28015,-0.59,4.66924,684.40955,5.9388967,1.8040313,520.9233,-1.56
28018,0.61,2.7999265,247.06317,4.4731307,1.058529,12.507962,0.58
28024,0.42,4.69141,268.5413,4.877298,1.0775492,26.991755,0.37
28067,0.4,5.221883,266.92722,5.1899276,3.9822433,31.8599,0.28
28080,0.06,8.28602,42.090034,1.089859,2.3161955,39.05957,0.08
28085,0.71,4.4450665,539.83514,4.874779,1.581885,11.791525,0.67
33022,0.58,4.903456,671.83417,5.3751903,1.1574063,12.724876,0.51
33034,0.63,5.5139303,696.3335,5.687809,1.1750803,30.685259,0.49
33039,0.61,6.3778977,585.86334,5.2202454,2.1719391,19.627611,0.55
36006,0.49,1.0123299,502.02942,4.498523,1.1955127,17.372929,0.4
38001,0.04,5.75801,678.9019,5.3551664,1.256233,193.47322,-0.26
39002,0.88,3.1769352,462.7113,5.4049106,1.3771421,14.78111,0.85
39008,0.87,4.1252384,527.7376,5.950538,2.2599382,13.986008,0.87
39010,-0.32,9.007011,695.1966,4.484052,1.395033,913.6793,-2.36
39016,0.72,2.5776026,690.44336,4.8253837,1.0391679,84.54884,0.6
39021,0.77,1.7265904,600.4001,5.69111,1.112409,11.576274,0.71
39034,0.85,1.117795,380.30762,5.1425343,2.1577723,15.850794,0.79
40003,0.39,9.762077,684.1248,4.1004395,2.8300803,16.521717,0.22
42004,0.62,9.060269,693.788,3.7071655,1.0690846,167.31178,0.0
43007,0.81,1.0717152,572.30194,5.1172037,1.2652576,11.71171,0.73
43008,0.58,3.8877795,688.5993,5.932793,3.018868,64.842995,0.18
43009,0.3,4.5805554,347.23636,2.240865,2.7220638,25.720356,0.24
44001,0.75,3.7800946,691.8251,3.3145208,1.0146036,40.945328,0.71
