basin_id,NSE_training,dd,f_thr,su_max,beta,perc,kf,ki,kb,NSE_testing
2001,0.67,2.864792,29.31262,252.34413,3.897662,0.8195669,3.2628586,2.9141414,681.6369,0.69
4001,0.75,4.1809053,12.624932,681.4104,1.47065,0.9998167,5.2701316,21.453802,169.91649,0.72
6007,0.84,5.412246,14.506806,246.84572,3.206347,0.4552227,6.469345,6.2366114,172.45624,0.83
7001,0.49,1.546651,41.485706,450.25433,2.9434214,0.95631075,8.69176,2.6301482,907.6296,0.54
7002,0.57,1.5423497,30.473223,43.507584,2.4024537,0.5893671,2.488361,2.308018,52.551544,0.59
8004,0.55,4.195542,31.434408,213.04054,3.6806133,0.61715305,3.3630116,3.3806567,394.65582,0.56
8005,0.64,0.8755741,26.185003,459.1641,3.976007,0.54378194,11.656927,6.014426,851.71454,0.69
8006,0.64,3.2373335,51.867348,457.07016,3.0697315,0.60660195,10.472195,5.0230017,613.13477,0.64
9002,0.68,2.663785,45.702038,495.1534,4.007449,0.90553004,17.396612,5.102177,249.53929,0.52
10003,0.83,4.948158,36.72212,261.6886,5.7494993,0.5008414,5.19683,4.614852,51.321568,0.77
11001,0.79,2.3362923,27.394045,269.48575,5.646465,0.53773546,5.730728,5.242946,61.39515,0.68
11003,0.7,4.1627064,20.436216,386.13263,4.5810237,0.666394,4.4921713,6.281666,305.36478,0.61
12001,0.61,4.6200447,16.160208,195.66827,3.429304,0.69135576,3.8544934,5.766569,402.79944,0.58
12002,0.69,2.8266897,20.799368,121.142975,3.8421464,0.5086579,3.9925106,3.0306,49.83572,0.65
13007,0.69,1.4889721,21.438456,377.2278,4.0891886,0.78172874,5.271376,3.2822204,447.5359,0.63
13008,0.76,1.6029128,33.0706,195.45941,5.690368,0.60449374,3.842771,3.5190072,47.316925,0.72
15006,0.83,4.143035,18.718925,225.06104,4.260152,0.86253494,5.697799,9.294315,309.911,0.83
15007,0.86,3.2060084,16.263046,639.35394,5.4147444,0.9134906,5.655313,15.437188,924.3058,0.87
15012,0.8,1.4034334,22.693987,306.9842,4.2304864,0.93620145,3.5285418,8.510733,455.1879,0.81
15016,0.8,3.6773245,16.850992,98.47752,2.58559,0.96816057,7.8654037,7.5479226,960.1614,0.82
15025,0.67,3.4874864,58.8456,105.86043,1.7141497,0.8552661,19.353683,3.8731759,14.744237,0.68
16001,0.84,8.126971,24.023365,302.8001,4.78631,0.82236415,4.282222,6.1733694,606.9576,0.79
16004,0.83,3.1017177,32.62771,260.4312,4.4018006,0.35044667,14.998562,2.5918982,14.8330345,0.78
18003,0.83,2.1621566,28.263184,663.9513,5.236502,0.9473677,3.2532763,5.205541,959.0008,0.86
21006,0.82,2.461933,36.227985,327.44754,5.238627,0.86148655,14.293452,4.016346,616.89655,0.79
21009,0.79,5.806883,35.512474,297.82727,5.405265,0.832625,11.54921,5.3667784,90.9206,0.76
21022,0.74,0.5401966,21.43519,306.11728,5.884543,0.8496625,4.0613337,3.3823843,436.87704,0.59
23004,0.71,0.28970557,32.51442,153.95282,5.9539266,0.89358747,15.344938,2.1314955,916.76514,0.72
25001,0.7,6.509703,30.44914,336.1296,2.7219453,0.9072113,3.202465,2.9617033,981.6654,0.72
27001,0.79,1.2956887,31.210693,413.90622,5.9570003,0.8692994,2.0163589,4.261794,837.07275,0.65
27003,0.84,1.1143074,24.779041,286.83203,4.2979445,0.8166379,3.1654932,4.78972,197.19841,0.8
27007,0.75,1.312418,54.4046,303.6264,3.4701004,0.96232855,7.6004615,3.5136173,623.8104,0.71
27021,0.8,4.029526,41.792583,320.92227,4.470893,0.7781694,14.853819,3.883612,420.39346,0.72
27034,0.8,4.892881,28.688683,250.86641,2.5253136,0.8868302,1.678579,2.96055,237.39026,0.75
27041,0.87,2.6776338,30.327961,411.51364,5.987128,0.7060043,12.284496,8.723352,987.2107,0.82
27071,0.76,1.2728075,30.009619,397.84,4.9086113,0.8993771,9.02362,4.921831,540.2033,0.71
27080,0.85,9.414279,24.751112,243.51749,3.0544825,0.8649954,6.273514,3.604198,240.33818,0.81
28015,-0.05,3.816294,44.112164,640.84674,5.4767513,0.51580507,10.937067,15.76361,749.5319,-0.64
28018,0.78,2.1808414,32.21794,314.85284,5.9938097,0.69222265,3.7823172,4.1247625,91.34936,0.75
28024,0.77,4.3053446,45.83319,287.61127,5.993568,0.94623494,11.541244,4.1036654,425.77744,0.7
28067,0.8,1.8989748,50.905796,501.3547,5.9962153,0.76551795,16.8346,6.54299,602.0921,0.71
28080,0.49,3.167383,18.968973,117.054955,2.0237315,0.72714216,14.094963,2.1195438,402.24838,0.55
28085,0.84,5.0101795,53.471104,527.37494,5.998397,0.7421596,11.075852,6.2650642,996.81635,0.77
33022,0.79,6.2460794,44.631104,402.08652,5.9992847,0.50116193,6.700463,5.1884265,501.5983,0.71
33034,0.8,4.879738,46.795364,502.04456,5.9966273,0.5812902,12.640034,13.656198,999.81177,0.71
33039,0.82,4.1676435,40.379112,351.2934,5.995256,0.84957296,9.371213,7.0978827,796.1683,0.74
36006,0.66,5.395794,29.137869,342.73358,5.675764,0.69510216,14.313455,6.8892837,709.2975,0.63
38001,0.58,4.6277895,44.962505,684.4134,5.996651,0.48939717,10.018188,4.2444983,998.3049,0.5
39002,0.9,6.3441195,37.655483,376.66684,5.996738,0.8526419,10.948772,11.868738,996.2949,0.85
39008,0.89,4.0243025,45.123585,413.71927,5.999346,0.84058887,11.055757,13.448492,988.8208,0.86
39010,0.46,6.628344,54.739803,698.4778,5.9969363,0.27973676,13.166501,19.152534,999.6108,0.06
