basin_id,NSE_training,dd,f_thr,su_max,beta,perc,kf,ki,kb,NSE_testing
2001,0.684,3.473,17.685,186.092,5.822,0.705,2.424,3.014,246.475,0.698
4001,0.782,2.607,15.088,29.051,1.011,0.891,4.057,18.936,32.411,0.743
6007,0.86,1.885,24.092,73.906,4.3,0.501,5.947,4.881,74.072,0.85
7001,0.541,1.036,34.244,27.121,1.311,0.645,3.025,1.842,37.615,0.565
7002,0.569,1.437,36.393,38.026,2.717,0.606,2.61,2.444,59.058,0.585
8004,0.589,3.795,25.01,59.517,3.637,0.441,4.357,2.4,88.204,0.59
8005,0.609,2.75,23.865,169.535,5.846,0.454,7.804,4.971,749.161,0.71
8006,0.644,1.96,23.333,164.695,3.955,0.535,5.254,4.934,387.958,0.647
9002,0.717,2.417,24.14,296.442,5.858,0.62,4.719,4.146,67.854,0.59
10003,0.794,7.007,21.075,294.325,5.565,0.677,6.21,11.21,69.994,0.724
11001,0.777,8.79,27.894,364.256,5.493,0.607,5.525,7.155,67.957,0.674
11003,0.736,3.67,20.749,333.567,4.871,0.38,5.632,4.006,56.379,0.613
12001,0.646,2.795,27.38,61.326,2.28,0.494,4.776,2.93,50.459,0.64
12002,0.686,2.597,21.37,83.872,3.323,0.462,4.717,3.105,53.019,0.645
13007,0.737,1.227,28.831,160.148,5.383,0.507,2.759,2.659,30.839,0.683
13008,0.755,1.494,31.613,175.644,5.346,0.557,5.211,3.419,49.475,0.711
15006,0.849,1.719,25.259,95.744,1.928,0.574,4.672,5.657,38.597,0.858
15007,0.887,3.46,37.693,168.903,5.835,0.599,4.113,5.818,63.994,0.884
15012,0.809,3.112,32.742,86.96,1.044,0.662,3.04,7.7,40.269,0.789
15016,0.818,3.059,17.207,31.048,1.013,0.947,6.671,10.23,26.25,0.84
15025,0.707,4.419,26.015,113.802,3.099,0.54,2.786,2.418,24.031,0.718
16001,0.864,2.208,21.277,147.787,4.178,0.667,3.346,5.042,35.04,0.826
16004,0.856,1.629,22.352,224.959,4.818,0.771,3.54,4.868,32.798,0.83
18003,0.831,1.989,22.071,666.713,5.96,0.887,3.627,5.171,883.293,0.855
21006,0.824,1.715,18.678,296.159,5.891,0.789,4.066,4.224,101.834,0.805
21009,0.801,2.424,29.026,283.896,5.375,0.846,7.239,5.055,249.638,0.75
21022,0.766,3.107,32.987,373.098,5.813,0.891,2.767,5.052,63.221,0.645
23004,0.739,1.557,20.924,155.155,5.622,0.773,1.739,2.167,71.421,0.778
25001,0.723,1.992,24.536,438.651,5.558,0.793,2.14,2.644,214.629,0.739
27001,0.792,1.357,23.7,356.648,5.902,0.804,2.726,4.76,856.644,0.649
27003,0.838,3.908,23.566,249.378,3.527,0.773,3.55,4.794,125.41,0.796
27007,0.755,1.372,27.798,213.8,2.795,0.873,2.259,3.722,44.173,0.696
27021,0.799,3.757,36.802,279.183,4.281,0.694,3.429,3.931,161.223,0.734
27034,0.808,6.294,24.337,111.425,3.956,0.841,1.871,2.751,55.455,0.775
27041,0.856,2.255,36.044,332.621,5.866,0.617,7.098,8.076,329.581,0.82
27071,0.761,1.124,30.856,267.889,4.321,0.832,4.267,5.012,137.716,0.712
27080,0.858,1.471,24.847,146.6,2.1,0.741,1.998,3.947,47.28,0.814
28015,-0.7,4.868,53.194,189.637,5.186,0.184,16.969,8.225,925.271,-0.933
28018,0.773,2.508,28.267,282.664,5.933,0.653,3.725,4.335,111.07,0.754
28024,0.756,6.465,47.072,286.518,5.936,0.835,9.029,4.26,896.969,0.707
28067,0.797,2.151,31.168,453.017,5.917,0.688,4.527,6.779,366.806,0.706
28080,0.688,9.726,42.916,51.738,1.019,0.469,12.451,2.436,60.545,0.654
28085,0.825,6.921,33.012,489.178,5.941,0.693,3.428,7.119,790.108,0.768
33022,0.681,9.633,39.828,220.362,5.461,0.329,11.834,5.099,296.065,0.593
33034,0.604,6.827,33.489,283.349,5.581,0.353,7.047,15.535,641.772,0.502
33039,0.799,4.321,33.046,337.574,5.873,0.746,10.807,7.854,853.767,0.737
36006,0.574,9.459,38.452,213.986,5.584,0.41,9.177,5.944,136.894,0.512
38001,0.448,8.768,44.703,414.987,5.698,0.299,11.466,4.269,924.866,0.462
39002,0.894,5.494,35,351.311,5.934,0.762,10.5,11.67,949.659,0.832
39008,0.872,9.74,38.322,369.904,5.931,0.72,12.161,14.09,957.314,0.836
39010,-0.955,9.559,54.319,240.939,3.951,0.119,16.262,6.302,779.016,-0.984
39016,0.754,9.523,41.988,362.616,5.609,0.385,10.148,18.824,380.863,0.651
39021,0.802,9.593,40.174,319.033,5.847,0.638,9.156,10.24,916.391,0.722
39034,0.914,8.366,39.146,312.015,5.894,0.783,12.63,11.995,834.225,0.837
40003,0.744,9.542,42.945,404.377,5.947,0.741,6.191,3.78,948.267,0.559
42004,0.228,2.005,39.871,107.756,5.269,0.203,11.766,35.429,596.69,0.063
43007,0.84,0.869,48.55,451.695,5.949,0.769,13.653,8.825,821.728,0.752
43008,0.596,5.567,54.365,520.306,5.717,0.458,15.186,37.402,881.693,0.418
43009,0.745,2.579,36.095,320.365,5.973,0.838,11.762,3.678,966.578,0.708
44001,0.841,1.233,49.276,398.93,4.783,0.547,18.004,24.931,414.249,0.815
