basin_id,NSE_training,dd,sumax,beta,ki,kb,NSE_testing
2001,0.49,7.78953,380.5306,1.8082328,1.0613543,10.001569,0.51
4001,0.7,3.074209,238.03195,1.0095404,1.0608802,10.096317,0.76
6007,0.8,1.9700695,687.66473,1.3068671,1.0636173,10.009029,0.83
7001,0.3,4.804952,218.06009,1.000303,1.060574,10.012198,0.37
7002,0.39,2.030265,239.11589,1.0026566,1.0608091,10.006813,0.41
8004,0.42,9.179143,542.8716,1.0215237,1.06169,10.018082,0.43
8005,0.44,0.4789054,694.09937,2.332613,1.0970093,10.004175,0.44
8006,0.57,2.5814795,689.1676,2.201255,1.0609099,10.340445,0.63
9002,0.59,3.080171,465.7412,3.090961,1.062854,10.000415,0.55
10003,0.78,7.8155217,427.42422,4.774737,1.0669783,10.0107355,0.76
11001,0.73,3.2291353,529.263,3.8851688,1.0600945,10.011817,0.72
11003,0.62,4.7062182,668.99146,3.4949985,1.0606501,10.011452,0.6
12001,0.52,3.9114738,317.7569,1.0137048,1.063818,10.029012,0.57
12002,0.56,5.7998624,368.03314,1.3159708,1.0740519,10.086253,0.59
13007,0.58,3.4243298,189.48064,1.7832426,1.0637981,10.006854,0.58
13008,0.64,2.6263213,341.16187,2.180703,1.0602688,10.012827,0.67
15006,0.82,2.3803723,304.3266,1.5818685,1.0667713,10.003029,0.84
15007,0.84,3.4945133,648.1276,1.4114803,1.0816585,10.210044,0.85
15012,0.78,1.1840652,246.71928,1.2083244,1.0616051,10.025435,0.8
15016,0.81,2.865369,86.11831,1.0105258,1.1689017,10.0153055,0.82
15025,0.56,6.2668066,153.06026,1.1074779,1.0604889,10.036185,0.55
16001,0.79,2.6866157,269.23636,2.1660726,1.0601337,10.007708,0.76
16004,0.77,2.2138193,256.98227,2.7334833,1.0623649,10.010643,0.77
18003,0.71,2.7847912,621.1293,2.9660676,1.0645298,10.001776,0.73
21006,0.69,6.0791926,272.06015,2.9347,1.0647815,10.049804,0.66
21009,0.69,5.1742773,288.98236,3.2091112,1.0791937,10.003533,0.65
21022,0.52,5.167713,328.75055,3.0862608,1.0707943,10.078683,0.45
23004,0.42,9.172713,146.01186,1.6067172,1.0612648,10.026983,0.42
25001,0.5,8.771398,356.68607,3.0251327,1.060496,10.020102,0.5
27001,0.66,3.1507797,454.67325,5.0030675,1.0625817,10.038969,0.54
27003,0.73,3.6945615,350.63568,2.917066,1.0954813,10.039781,0.69
27007,0.57,3.9280279,177.0251,1.8566475,1.0611751,10.001453,0.56
27021,0.67,5.930938,440.77533,3.2956123,1.0643735,10.001061,0.62
27034,0.52,7.6033173,111.6329,1.3909575,1.0650034,10.075224,0.52
27041,0.8,5.7528653,697.87634,5.9888034,1.288124,10.567648,0.82
27071,0.66,2.415867,314.46106,3.291521,1.0733142,10.004316,0.67
27080,0.71,2.46819,173.74661,1.5109469,1.0618073,10.0030575,0.67
28015,0.02,0.046747684,699.8819,5.9894657,1.0770952,298.3478,-1.99
28018,0.67,5.9721184,459.2484,4.9528723,1.0644746,10.021496,0.67
28024,0.61,6.1550474,315.09937,5.9805827,1.0600362,10.001982,0.59
28067,0.8,6.861202,699.88574,5.9100018,1.139257,10.003778,0.68
28080,0.36,9.937115,153.58049,1.0003133,1.0625355,10.000314,0.47
28085,0.78,7.090702,699.37494,5.9653993,1.0892295,10.01845,0.74
33022,0.58,7.975024,694.95074,5.9742455,1.0701108,10.364956,0.54
33034,0.63,8.575796,699.77795,5.9878545,1.1305176,24.03309,0.71
33039,0.77,3.3779418,412.05322,5.9603887,1.3292247,10.002345,0.78
36006,0.6,8.945835,441.65866,5.9809837,1.1409436,10.000347,0.63
38001,0.15,7.2859693,699.89557,5.9884315,1.0645344,11.939786,0.32
39002,0.86,9.697381,505.9711,5.9894495,1.5632544,11.350028,0.88
39008,0.85,8.95801,560.0373,5.987661,1.3348219,14.690832,0.88
39010,-1.06,8.960222,699.9037,5.1639514,1.0896041,350.1519,-0.25
39016,0.68,9.090821,699.90826,4.8563848,1.0601518,69.3933,0.68
39021,0.79,4.836446,609.4086,5.9891977,1.4628842,11.883772,0.73
39034,0.88,9.12051,492.32846,5.9889674,1.3251138,12.134451,0.87
40003,0.58,9.5985365,511.35416,5.903334,1.0615045,10.081119,0.6
42004,0.48,9.822941,699.92737,3.7839036,1.0845916,145.08385,0.44
43007,0.8,9.946178,695.47205,5.988533,1.2602499,10.001948,0.81
43008,0.55,9.359076,699.78937,5.9887547,1.0662389,70.82835,0.37
43009,0.55,8.3223915,236.9697,3.786525,1.0874836,10.000418,0.55
44001,0.77,6.7480917,698.4611,3.1188447,1.0767119,46.016537,0.65
