basin_id,NSE_training,dd,f_thr,sumax,beta,perc,kf,ki,kb,NSE_testing
2001,0.69,3.5759335,43.814964,82.1243,5.539453,0.60754883,1.2042398,2.3615818,134.66884,0.7
4001,0.77,4.6923776,28.214138,37.448322,1.1525326,0.42243537,2.765027,5.1725473,39.812862,0.8
6007,0.86,1.1270604,22.35553,102.66988,5.6416965,0.5511622,5.9660826,5.0730658,92.57681,0.88
7001,0.52,1.1740845,54.598766,45.86639,1.7989506,0.6835351,1.8384964,1.6744667,52.341335,0.62
7002,0.58,1.1231049,59.965,58.757435,3.6049562,0.67057073,14.499151,2.2439787,68.3418,0.63
8004,0.57,2.8591115,46.212135,83.745674,3.5882072,0.5007676,1.1802946,2.25106,88.15131,0.63
8005,0.63,0.85660124,37.0886,693.74426,5.8542175,0.56665254,4.6725097,5.030853,993.45746,0.68
8006,0.67,1.600881,17.925335,280.05057,5.9530816,0.46992546,5.7505007,3.9011996,178.9282,0.71
9002,0.73,2.3805983,55.78448,169.12863,5.983234,0.5738664,7.751932,3.3030245,80.30774,0.73
10003,0.84,6.948429,33.010166,281.70697,5.8476286,0.5579775,6.642802,5.2667966,47.169594,0.82
11001,0.79,2.1697333,41.360718,241.34973,5.7008553,0.5491765,6.9247794,5.329256,88.89239,0.76
11003,0.72,2.5340238,42.1571,226.07407,4.5958905,0.4509982,4.6446414,3.6297474,75.77153,0.7
12001,0.63,0.910987,44.82391,90.0544,2.3919125,0.5546742,14.269998,2.8897219,63.345547,0.71
12002,0.67,2.8104012,45.37286,63.66936,3.1176732,0.5651152,18.53898,3.056132,66.92025,0.73
13007,0.72,1.3591433,46.20727,155.03589,5.3960123,0.6255248,14.741783,2.5303702,44.744606,0.78
13008,0.74,0.36515746,47.6385,183.63876,4.5343266,0.604469,17.613583,3.6773822,40.55903,0.78
15006,0.85,2.1528468,24.565172,164.17534,3.0440335,0.64839184,4.398775,6.518589,48.332905,0.87
15007,0.89,2.7039695,42.474083,213.77776,5.642886,0.6062476,3.5302727,5.7369885,62.38546,0.9
15012,0.8,1.0787809,47.36954,209.97621,3.2474859,0.60967773,2.972669,5.066962,34.748283,0.83
15016,0.82,2.8672304,32.426167,79.7443,1.1309737,0.9132663,5.245723,8.892611,16.926546,0.83
15025,0.7,0.9997913,57.905,168.45866,3.6220505,0.6600062,11.0226755,2.2892635,24.654438,0.77
16001,0.85,2.5358028,23.912746,153.78764,5.822823,0.59157115,3.746454,4.522095,39.55203,0.86
16004,0.84,1.7009933,20.186016,369.17657,5.3089647,0.9069703,3.443841,5.9347625,38.683475,0.86
18003,0.83,1.8809612,27.476458,658.5573,5.3648405,0.9193445,3.1621926,4.929279,937.2149,0.87
21006,0.82,1.9632932,20.860544,257.1416,5.7797313,0.76228565,3.217427,4.501683,94.89062,0.8
21009,0.79,4.294396,33.563965,256.4389,5.6312237,0.7745773,4.464428,4.5597706,74.142334,0.75
21022,0.75,4.450771,33.858494,350.68655,5.995874,0.6368355,2.318194,3.1986175,19.918478,0.66
23004,0.74,4.0365734,20.247473,83.77996,5.8898444,0.70360434,1.7924397,2.1205444,53.954594,0.8
25001,0.72,5.7926984,27.334784,531.9662,5.5247407,0.7212132,2.4961262,2.406019,21.152235,0.76
27001,0.78,2.3102958,33.614796,399.31497,5.9127474,0.82639915,4.338159,4.1541657,964.7613,0.71
27003,0.84,2.7954724,59.84707,285.0648,4.3127766,0.8026358,3.9931784,4.461185,194.50665,0.81
27007,0.74,2.6826544,26.63324,201.38712,3.7260752,0.8456936,2.7713099,3.3867307,83.42086,0.74
27021,0.8,2.5369723,58.51568,318.8253,4.7673564,0.7474192,5.3211765,4.062326,173.30716,0.76
27034,0.8,5.5655584,25.197422,80.53371,4.8284636,0.79864514,1.8916107,2.5884898,43.7913,0.81
27041,0.83,3.6835053,56.768322,456.34042,5.9959936,0.7178647,15.140644,8.63805,939.4463,0.86
27071,0.75,1.9145391,36.654064,299.15414,4.640425,0.8285184,4.121224,4.4016137,108.44736,0.76
27080,0.84,2.2921886,57.262783,162.32819,2.6121216,0.7919845,2.9738252,3.7227154,77.08673,0.84
28015,0.52,2.7417254,59.873676,697.81024,5.998476,0.43256322,15.123384,9.0785675,998.77386,-0.39
28018,0.76,2.7936919,50.687683,342.6864,5.934909,0.6945506,13.65421,4.064879,93.83684,0.78
28024,0.74,3.186094,44.651077,287.0225,5.993069,0.8659858,10.898485,4.1117897,977.50653,0.74
28067,0.83,3.6738591,58.60297,532.15265,5.9930573,0.73402256,19.07399,6.558339,155.2246,0.73
28080,0.63,4.672789,54.236916,21.635752,1.0130451,0.5250004,17.889599,2.619498,105.218445,0.71
28085,0.82,4.3189507,59.111088,613.9167,5.989429,0.7950506,13.992214,6.8590317,972.52496,0.79
33022,0.77,3.1638465,44.530464,394.7313,5.9939556,0.528278,8.576338,5.42753,628.0556,0.73
33034,0.74,3.8207524,51.50168,535.15247,5.996852,0.61597836,15.143411,11.354202,973.2465,0.74
33039,0.8,1.9558802,39.67563,354.0619,5.994825,0.8597896,8.864937,7.078918,995.779,0.8
36006,0.69,2.8572893,58.40636,317.9711,5.9982257,0.72869176,14.156341,5.2254944,993.20795,0.7
38001,0.48,9.833519,41.55848,675.79584,5.9978366,0.50632364,3.891858,4.1508193,997.03156,0.61
39002,0.86,9.679964,37.27247,390.7359,5.9991703,0.86940014,18.66759,11.902041,998.1107,0.87
39008,0.85,9.11605,55.809017,424.87433,5.999679,0.85416496,11.35349,13.7269335,998.5487,0.88
39010,0.1,9.529764,57.225887,698.9605,5.999927,0.35750633,8.516366,23.886347,998.80304,0.45
39016,0.81,8.284076,55.681164,646.7422,5.9997964,0.70916575,16.331585,31.889347,997.5056,0.81
39021,0.81,3.0577807,56.091446,437.52786,5.9976206,0.7620358,7.5721784,10.512626,985.5758,0.77
39034,0.9,4.2431664,49.592102,330.6744,5.9967227,0.7097378,17.148687,10.056864,91.46372,0.88
40003,0.73,9.547758,33.11039,386.21603,5.9957175,0.7835786,8.528963,3.8799777,969.2066,0.73
42004,0.79,9.924858,36.385117,631.8729,5.9940906,0.5270618,19.85928,45.118145,993.64465,0.76
43007,0.83,9.275996,55.96256,456.47156,5.9791102,0.53402925,19.89475,5.781552,46.13366,0.83
43008,0.66,4.236278,58.70644,691.0633,5.999341,0.72921205,8.75429,33.568478,989.3248,0.56
43009,0.72,9.813814,27.691189,290.27228,5.897063,0.9463419,4.255351,3.6589108,675.05176,0.74
44001,0.89,8.703829,59.429214,696.45996,5.999331,0.6102788,9.273745,20.314463,328.01215,0.84
