basin_id,NSE_training,dd,f_thr,sumax,beta,perc,kf,ki,kb,NSE_testing
2001,0.66,3.7917607,36.04097,281.47107,5.5935607,0.68048245,9.576197,2.5508711,823.7819,0.66
4001,0.73,7.9539948,20.450462,189.68257,1.8720864,0.9283089,4.3074393,19.34699,404.4131,0.74
6007,0.83,4.420782,32.139065,272.27304,5.930917,0.54835945,8.582063,3.9731991,89.59458,0.86
7001,0.43,2.1565883,31.318665,650.8043,5.5256577,0.8929664,2.7186275,1.6892473,345.84537,0.58
7002,0.52,2.1928778,28.881025,540.12933,4.4687862,0.6911178,1.6054066,3.0432467,252.81888,0.55
8004,0.53,3.7727075,41.532825,111.550514,5.7080874,0.5323346,3.672953,2.699158,687.4714,0.56
8005,0.59,1.7525387,57.09255,604.93585,4.4427643,0.48368496,5.9670906,4.252668,633.5381,0.62
8006,0.64,1.5382986,50.45129,385.18518,5.678807,0.5484085,12.857023,3.316442,446.93616,0.69
9002,0.69,4.420782,32.139065,271.14578,5.9236665,0.54436684,8.582063,3.9417107,89.62571,0.66
10003,0.82,4.421808,31.80143,271.5368,5.9236665,0.54835945,8.569195,3.943154,66.70364,0.82
11001,0.77,4.421808,31.80143,271.5368,5.9236665,0.54835945,8.569195,3.943154,66.73477,0.78
11003,0.69,4.421808,31.80143,271.5368,5.9236665,0.54835945,8.578143,3.9417107,89.62571,0.7
12001,0.6,3.312394,34.798283,100.566284,2.2710044,0.67949164,10.548418,4.6342044,254.24344,0.65
12002,0.63,4.420782,32.139065,272.27304,5.9236665,0.54436684,8.578143,4.1064982,89.59458,0.66
13007,0.68,1.7732922,11.987272,148.4197,4.5540047,0.6014143,3.2686772,14.915964,50.706078,0.72
13008,0.72,0.3758184,51.409264,241.13188,3.6782827,0.78806156,19.776653,4.3955665,244.13953,0.77
15006,0.83,1.2319418,40.885933,242.71571,4.6220927,0.74205023,2.3129973,5.2930784,40.920177,0.88
15007,0.87,2.5486038,36.522354,165.27632,5.699296,0.57504344,3.2199948,5.357554,187.67885,0.88
15012,0.79,1.2319418,40.885933,242.71571,4.6220927,0.74205023,2.3129973,5.2930784,40.920177,0.84
15016,0.8,1.4549893,18.95281,322.96088,5.3112946,0.85292524,11.256785,7.519568,12.147504,0.81
15025,0.65,5.651115,30.835485,191.68523,3.8722742,0.8153641,9.92873,3.3221703,243.49506,0.71
16001,0.84,1.2319418,40.885933,242.71571,4.6220927,0.74205023,2.3129973,5.2930784,40.920177,0.85
16004,0.83,1.2319418,40.885933,242.71571,4.6220927,0.74205023,2.3129973,5.2930784,40.920177,0.84
