basin_id,NSE_training,aux_ET,ki,NSE_testing
2001,0.52,1.4919324,5.183015,0.59
4001,0.68,0.26652113,13.943394,0.75
6007,0.71,0.6641139,10.299241,0.81
7001,0.31,0.5157953,4.7151437,0.44
7002,0.37,0.7818923,6.4351325,0.48
8004,0.25,0.55406666,14.099078,0.35
8005,0.24,1.4948772,68.65986,0.23
8006,0.29,0.96204245,49.782913,0.35
9002,0.44,1.2195107,14.708568,0.48
10003,0.6,0.8220013,40.81113,0.61
11001,0.51,0.8220013,40.81113,0.49
11003,0.39,0.746667,53.677742,0.36
12001,0.35,0.5697956,15.7723875,0.47
12002,0.42,0.7448823,11.964283,0.54
13007,0.53,0.8624668,9.123243,0.6
13008,0.52,0.8782097,12.34608,0.62
15006,0.73,0.6318364,13.273369,0.8
15007,0.76,1.0631527,10.908699,0.84
15012,0.7,0.47732317,13.518023,0.78
15016,0.81,0.067172095,9.240723,0.85
15025,0.53,0.8958026,7.218041,0.6
16001,0.76,1.0998989,9.417534,0.78
16004,0.75,1.0497907,6.967281,0.81
18003,0.76,1.4919324,5.183015,0.83
21006,0.68,1.2948937,7.4064326,0.69
21009,0.62,1.4340323,8.649902,0.62
21022,0.45,1.4340323,8.649902,0.48
23004,0.63,1.4473814,2.8118033,0.68
25001,0.53,1.4831853,4.8943224,0.62
27001,0.57,1.4654629,11.181537,0.54
27003,0.65,1.4340323,8.649902,0.69
27007,0.62,1.4919324,5.183015,0.68
27021,0.45,1.4504486,12.92815,0.56
27034,0.7,1.0954738,3.309558,0.76
27041,0.55,0.97823155,96.70582,0.51
27071,0.52,1.3488322,11.141907,0.64
27080,0.69,1.0497907,6.967281,0.73
28015,0.46,0.9170501,357.03796,-0.04
28018,0.48,1.2904193,16.53038,0.52
28024,0.37,1.2717859,46.30893,0.38
28067,0.52,1.2809385,36.353542,0.47
28080,0.28,0.23778027,19.10372,0.3
28085,0.53,1.4704962,38.500336,0.51
33022,0.38,0.8370912,201.81056,0.36
33034,0.59,0.9086779,225.75465,0.59
33039,0.47,1.2406805,68.79432,0.49
36006,0.3,1.1332136,97.05523,0.41
38001,0.31,1.0910771,278.83536,0.35
39002,0.65,1.2641646,71.194695,0.64
39008,0.68,1.2377105,81.04645,0.66
39010,0.55,0.9627031,499.62195,0.69
39016,0.71,0.9043555,197.64423,0.72
39021,0.6,1.0772686,115.60161,0.55
39034,0.65,1.0284824,79.47652,0.66
40003,0.36,1.4728329,19.24355,0.42
42004,0.72,0.880665,297.3729,0.72
43007,0.6,1.3413706,54.64513,0.62
43008,0.67,1.1447048,170.35074,0.67
43009,0.53,1.4340323,8.649902,0.56
44001,0.71,0.9018955,125.00381,0.66
