basin_id,NSE_training,aux_ET,ki,NSE_testing
2001,0.53,1.4286712,5.997289,0.58
4001,0.68,0.26667365,14.129406,0.75
6007,0.71,0.6885027,10.850888,0.8
7001,0.31,0.44642824,4.4693794,0.45
7002,0.37,0.8130914,6.3140006,0.48
8004,0.25,0.5760208,13.570296,0.36
8005,0.24,1.4930191,64.0635,0.24
8006,0.29,0.9609166,52.4198,0.35
9002,0.44,1.2437352,13.581544,0.49
10003,0.6,0.8398799,40.432465,0.61
11001,0.51,0.84337056,38.950077,0.5
11003,0.39,0.76227635,53.348713,0.37
12001,0.35,0.5720246,14.715961,0.48
12002,0.42,0.7298797,12.381906,0.54
13007,0.53,1.0099729,8.518471,0.61
13008,0.52,0.93442374,12.090553,0.62
15006,0.73,0.6659511,13.204406,0.8
15007,0.76,0.96132714,11.589641,0.83
15012,0.7,0.48021117,13.432907,0.78
15016,0.81,0.034602765,9.743774,0.84
15025,0.53,0.8057675,7.349335,0.59
16001,0.76,1.052948,8.572267,0.79
16004,0.75,1.0852284,7.6696625,0.81
18003,0.76,1.4983758,5.5333533,0.83
21006,0.69,1.4283415,6.7954454,0.69
21009,0.62,1.326601,9.223491,0.62
21022,0.45,1.4877908,9.758169,0.47
23004,0.63,1.4991913,2.9617145,0.69
25001,0.53,1.4978307,4.752242,0.62
27001,0.57,1.4987539,10.372558,0.55
27003,0.65,1.3698689,8.886533,0.69
27007,0.62,1.3820971,5.177326,0.68
27021,0.45,1.4946353,12.861526,0.56
27034,0.71,1.4535564,3.303683,0.76
27041,0.55,0.98863894,94.99933,0.52
27071,0.52,1.3732791,11.2520685,0.64
27080,0.69,1.0630288,7.554369,0.72
28015,0.46,0.9176924,359.40088,-0.03
28018,0.48,1.3307711,16.316359,0.52
28024,0.37,1.2784402,47.37938,0.37
28067,0.52,1.3215603,34.275677,0.48
28080,0.28,0.23995805,17.36519,0.3
28085,0.54,1.4893725,33.966263,0.52
33022,0.38,0.8220592,214.15767,0.35
33034,0.59,0.91441107,225.13377,0.59
33039,0.47,1.2295521,69.42541,0.49
36006,0.3,1.138642,96.07292,0.41
38001,0.31,1.0819064,274.5701,0.35
39002,0.65,1.2659005,70.51764,0.64
39008,0.68,1.2613492,78.415504,0.66
39010,0.55,0.9481842,498.42645,0.68
39016,0.71,0.9075126,198.74915,0.72
39021,0.6,1.0809419,115.27824,0.55
39034,0.65,1.0093881,80.19577,0.66
40003,0.36,1.4949838,20.075232,0.42
42004,0.73,0.8736523,296.62823,0.71
43007,0.6,1.3598667,53.418007,0.62
43008,0.67,1.1476718,169.81805,0.67
43009,0.54,1.494918,7.5723042,0.57
44001,0.71,0.9054465,127.57216,0.66
